Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,13.313,214.327,27.278,EVOLVING
2,14.207,214.327,28.551,EVOLVING
3,24.68,214.327,28.551,EVOLVING
4,214.327,214.327,214.327,EVOLVING
5,214.327,214.327,214.327,EVOLVING
6,214.327,214.327,214.327,EVOLVING
7,214.327,214.327,214.327,EVOLVING
8,214.327,214.327,214.327,EVOLVING
9,214.327,214.327,214.327,EVOLVING
10,214.327,214.327,214.327,EVOLVING
11,214.327,214.327,214.327,EVOLVING
12,214.327,214.327,214.327,EVOLVING
13,214.327,214.327,214.327,EVOLVING
14,214.327,214.327,214.327,EVOLVING
15,214.327,214.327,214.327,EVOLVING
16,214.327,214.327,214.327,EVOLVING
17,214.327,214.327,214.327,EVOLVING
18,214.327,214.327,214.327,EVOLVING
19,214.327,214.327,214.327,EVOLVING
20,214.327,214.327,214.327,EVOLVING
21,214.327,214.327,214.327,EVOLVING
22,214.327,214.327,214.327,EVOLVING
23,214.327,214.327,214.327,EVOLVING
24,214.327,214.327,214.327,EVOLVING
25,214.327,214.327,214.327,EVOLVING
26,214.327,214.327,214.327,EVOLVING
27,214.327,214.327,214.327,EVOLVING
28,214.327,214.327,214.327,EVOLVING
29,214.327,214.327,214.327,EVOLVING
30,214.327,214.327,214.327,EVOLVING
