Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,29.588,76.255,572.415,EVOLVING
2,104.343,76.255,572.415,EVOLVING
3,104.343,76.255,572.415,EVOLVING
4,572.415,572.415,572.415,EVOLVING
5,572.415,572.415,572.415,EVOLVING
6,572.415,572.415,572.415,EVOLVING
7,572.415,572.415,572.415,EVOLVING
8,572.415,572.415,572.415,EVOLVING
9,572.415,572.415,572.415,EVOLVING
10,572.415,572.415,572.415,EVOLVING
11,572.415,572.415,572.415,EVOLVING
12,572.415,572.415,572.415,EVOLVING
13,572.415,572.415,572.415,EVOLVING
14,572.415,572.415,572.415,EVOLVING
15,572.415,572.415,572.415,EVOLVING
16,572.415,572.415,572.415,EVOLVING
17,572.415,572.415,572.415,EVOLVING
18,572.415,572.415,991.562,EVOLVING
19,991.562,991.562,991.562,EVOLVING
20,991.562,991.562,991.562,EVOLVING
21,991.562,991.562,991.562,EVOLVING
22,991.562,991.562,991.562,EVOLVING
23,991.562,991.562,991.562,EVOLVING
24,991.562,991.562,1762.172,EVOLVING
25,1762.172,1762.172,1762.172,EVOLVING
26,1762.172,1762.172,1762.172,EVOLVING
27,1762.172,1762.172,1762.172,EVOLVING
28,1762.172,1762.172,1762.172,EVOLVING
29,1762.172,1762.172,1762.172,EVOLVING
30,1762.172,1762.172,1762.172,EVOLVING
