Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,22.755,137.75,19.952,EVOLVING
2,22.755,137.75,24.419,EVOLVING
3,22.755,137.75,24.419,EVOLVING
4,137.75,137.75,137.75,EVOLVING
5,137.75,137.75,137.75,EVOLVING
6,137.75,137.75,137.75,EVOLVING
7,137.75,137.75,137.75,EVOLVING
8,137.75,137.75,137.75,EVOLVING
9,137.75,137.75,137.75,EVOLVING
10,137.75,137.75,137.75,EVOLVING
11,137.75,137.75,137.75,EVOLVING
12,137.75,137.75,137.75,EVOLVING
13,137.75,137.75,137.75,EVOLVING
14,137.75,137.75,137.75,EVOLVING
15,137.75,137.75,137.75,EVOLVING
16,137.75,137.75,137.75,EVOLVING
17,137.75,137.75,137.75,EVOLVING
18,137.75,137.75,137.75,EVOLVING
19,137.75,137.75,137.75,EVOLVING
20,137.75,137.75,137.75,EVOLVING
21,137.75,137.75,137.75,EVOLVING
22,137.75,137.75,137.75,EVOLVING
23,137.75,137.75,137.75,EVOLVING
24,137.75,137.75,137.75,EVOLVING
25,137.75,137.75,137.75,EVOLVING
26,137.75,137.75,137.75,EVOLVING
27,137.75,137.75,137.75,EVOLVING
28,137.75,137.75,137.75,EVOLVING
29,137.75,137.75,137.75,EVOLVING
30,137.75,137.75,137.75,EVOLVING
