Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,0.0,0.0,0.0,EVOLVING
2,0.0,0.0,0.0,EVOLVING
3,0.0,0.0,0.0,EVOLVING
4,0.0,0.0,0.0,EVOLVING
5,0.0,0.0,0.0,EVOLVING
6,0.0,0.0,0.0,EVOLVING
7,0.0,0.0,0.0,EVOLVING
8,0.0,0.0,0.0,EVOLVING
9,0.0,0.0,0.0,EVOLVING
10,0.0,0.0,0.0,EVOLVING
11,0.0,0.0,0.0,EVOLVING
12,0.0,0.0,0.0,EVOLVING
13,0.0,0.0,0.0,EVOLVING
14,0.0,0.0,0.0,EVOLVING
15,0.0,0.0,0.0,EVOLVING
16,0.0,0.0,0.0,EVOLVING
17,0.0,0.0,0.0,EVOLVING
18,0.0,0.0,0.0,EVOLVING
19,0.0,0.0,0.0,EVOLVING
20,0.0,0.0,0.0,EVOLVING
21,0.0,0.0,0.0,EVOLVING
22,0.0,0.0,0.0,EVOLVING
23,0.0,0.0,0.0,EVOLVING
24,0.0,0.0,0.0,EVOLVING
25,0.0,0.0,0.0,EVOLVING
26,0.0,0.0,0.0,EVOLVING
27,0.0,0.0,0.0,EVOLVING
28,0.0,0.0,0.0,EVOLVING
29,0.0,0.0,0.0,EVOLVING
30,0.0,0.0,0.0,EVOLVING
