Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,65.116,909.3,0.0,EVOLVING
2,101.916,909.3,0.0,EVOLVING
3,101.916,909.3,0.0,EVOLVING
4,909.3,909.3,909.3,EVOLVING
5,909.3,909.3,909.3,EVOLVING
6,909.3,909.3,909.3,EVOLVING
7,909.3,909.3,909.3,EVOLVING
8,909.3,909.3,909.3,EVOLVING
9,909.3,909.3,909.3,EVOLVING
10,909.3,909.3,909.3,EVOLVING
11,909.3,909.3,909.3,EVOLVING
12,909.3,909.3,909.3,EVOLVING
13,909.3,909.3,909.3,EVOLVING
14,909.3,909.3,909.3,EVOLVING
15,909.3,909.3,909.3,EVOLVING
16,909.3,909.3,909.3,EVOLVING
17,909.3,909.3,909.3,EVOLVING
18,909.3,909.3,909.3,EVOLVING
19,909.3,909.3,909.3,EVOLVING
20,909.3,909.3,909.3,EVOLVING
21,909.3,909.3,909.3,EVOLVING
22,909.3,909.3,909.3,EVOLVING
23,909.3,909.3,909.3,EVOLVING
24,909.3,909.3,909.3,EVOLVING
25,909.3,909.3,909.3,EVOLVING
26,909.3,909.3,909.3,EVOLVING
27,909.3,909.3,909.3,EVOLVING
28,909.3,909.3,909.3,EVOLVING
29,909.3,909.3,909.3,EVOLVING
30,909.3,909.3,909.3,EVOLVING
