Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Delta_Extremist;Gamma_LoadFactor;Beta_AllEqual,12.621,13.921,17.019,15.203,10.709,8.513,21.473,23.208,21.841,21.516,EVOLVING,2000.0,213,75,288,288
2,Alpha_HashCollision;Beta_LineChain;Gamma_Disconnected,15.287,13.921,17.019,15.203,13.55,10.4,21.473,23.208,21.841,21.516,EVOLVING,2000.0,218,77,295,583
3,Delta_Extremist;Gamma_Sawtooth;Gamma_Disconnected,15.287,13.921,17.019,15.203,13.55,13.274,21.473,23.208,25.043,24.324,EVOLVING,2000.0,213,77,290,873
4,Gamma_LoadFactor;Gamma_Disconnected;Alpha_Reversed,15.287,13.921,20.765,15.203,13.55,14.833,23.665,23.208,25.043,24.324,EVOLVING,2000.0,225,78,303,1176
5,Alpha_HashCollision;Delta_Extremist;Alpha_StarGraph,18.352,13.921,20.765,16.655,13.55,14.833,23.665,23.208,25.043,27.523,EVOLVING,2000.0,226,70,296,1472
6,Gamma_LoadFactor;Delta_Extremist;Gamma_Sawtooth,18.352,13.921,24.054,16.655,13.55,14.833,23.665,23.208,28.643,32.227,EVOLVING,2000.0,214,77,291,1763
7,Delta_Extremist;Alpha_HashCollision;Beta_ModuloStep,19.927,15.067,24.054,16.655,13.55,14.833,23.665,23.208,28.643,37.282,EVOLVING,2000.0,218,77,295,2058
8,Gamma_Sawtooth;Gamma_LoadFactor;Delta_Extremist,19.927,15.067,27.695,16.655,13.55,14.833,23.665,23.208,32.387,41.711,EVOLVING,2000.0,217,79,296,2354
9,Beta_LineChain;Beta_AllEqual;Alpha_HashCollision,22.609,15.067,27.695,16.655,15.821,14.833,23.665,25.411,32.387,41.711,EVOLVING,2000.0,213,80,293,2647
10,Beta_LineChain;Beta_ModuloStep;Alpha_HashCollision,24.858,16.965,27.695,16.655,18.535,14.833,23.665,25.411,32.387,41.711,EVOLVING,2000.0,212,82,294,2941
11,Gamma_LoadFactor;Delta_Extremist;Gamma_Sawtooth,24.858,16.965,31.081,16.655,18.535,14.833,23.665,25.411,35.955,47.911,EVOLVING,2000.0,216,77,293,3234
12,Alpha_HashCollision;Beta_AllEqual;Gamma_Sawtooth,27.666,16.965,31.081,16.655,18.535,14.833,23.665,28.709,39.453,47.911,EVOLVING,2000.0,218,78,296,3530
13,Gamma_LoadFactor;Gamma_Sawtooth;Alpha_HashCollision,30.235,16.965,34.158,16.655,18.535,14.833,23.665,28.709,46.583,47.911,EVOLVING,2000.0,211,73,284,3814
14,Gamma_Disconnected;Beta_AllEqual;Alpha_Reversed,30.235,16.965,34.158,16.655,18.535,16.45,26.964,31.802,46.583,47.911,EVOLVING,2000.0,216,73,289,4103
15,Gamma_Disconnected;Alpha_HashCollision;Alpha_StarGraph,35.339,16.965,34.158,20.263,18.535,19.302,26.964,31.802,46.583,47.911,EVOLVING,2000.0,213,74,287,4390
