Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,397.867,55.685,0.0,EVOLVING
2,397.867,55.685,0.0,EVOLVING
3,397.867,413.174,0.0,EVOLVING
4,488.449,523.22,413.174,EVOLVING
5,488.449,523.22,413.174,EVOLVING
6,488.449,523.22,413.174,EVOLVING
7,523.22,523.22,523.22,EVOLVING
8,523.22,523.22,523.22,EVOLVING
9,523.22,523.22,523.22,EVOLVING
10,715.501,716.579,523.22,EVOLVING
11,715.501,716.579,523.22,EVOLVING
12,715.501,716.579,523.22,EVOLVING
13,716.579,716.579,716.579,EVOLVING
14,716.579,716.579,716.579,EVOLVING
15,716.579,716.579,716.579,EVOLVING
16,716.579,716.579,716.579,EVOLVING
17,716.579,716.579,716.579,EVOLVING
18,716.579,716.579,716.579,EVOLVING
19,716.579,716.579,716.579,EVOLVING
20,716.579,716.579,716.579,EVOLVING
21,716.579,716.579,716.579,EVOLVING
22,716.579,716.579,716.579,EVOLVING
23,716.579,716.579,716.579,EVOLVING
24,716.579,716.579,716.579,EVOLVING
25,716.579,716.579,716.579,EVOLVING
26,2000.0,951.773,716.579,TLE_ACHIEVED
