Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_ModuloStep;Alpha_Reversed;Gamma_LoadFactor,22.442,23.338,28.877,19.855,12.651,17.247,26.672,23.729,11.453,8.468,EVOLVING,1000.0,76,33,33,33
2,Delta_Extremist;Beta_LineChain;Gamma_LoadFactor,22.442,23.338,31.795,19.855,14.988,17.247,26.672,23.729,11.453,9.999,EVOLVING,1000.0,77,33,33,66
3,Delta_Extremist;Beta_ModuloStep;Alpha_Reversed,22.442,27.102,31.795,19.855,14.988,17.247,31.622,23.729,11.453,11.223,EVOLVING,1000.0,77,32,32,98
4,Alpha_StarGraph;Gamma_Sawtooth;Delta_Extremist,22.442,27.102,31.795,23.515,14.988,17.247,31.622,23.729,13.448,14.299,EVOLVING,1000.0,69,40,40,138
5,Alpha_HashCollision;Alpha_StarGraph;Gamma_Sawtooth,25.285,27.102,31.795,26.169,14.988,17.247,31.622,23.729,15.449,14.299,EVOLVING,1000.0,74,38,38,176
6,Alpha_HashCollision;Beta_AllEqual;Gamma_Disconnected,27.439,27.102,31.795,26.169,14.988,19.189,31.622,27.13,15.449,14.299,EVOLVING,1000.0,78,34,34,210
7,Gamma_Disconnected;Alpha_StarGraph;Delta_Extremist,27.439,27.102,31.795,29.502,14.988,21.331,31.622,27.13,15.449,16.015,EVOLVING,1000.0,67,38,38,248
8,Alpha_Reversed;Alpha_HashCollision;Gamma_Sawtooth,30.706,27.102,31.795,29.502,14.988,21.331,36.215,27.13,17.216,16.015,EVOLVING,1000.0,69,33,33,281
9,Delta_Extremist;Beta_LineChain;Alpha_StarGraph,30.706,27.102,31.795,33.583,18.356,21.331,36.215,27.13,17.216,18.592,EVOLVING,1000.0,68,40,40,321
10,Beta_AllEqual;Gamma_LoadFactor;Beta_LineChain,30.706,27.102,35.894,33.583,19.824,21.331,36.215,32.109,17.216,18.592,EVOLVING,1000.0,72,32,32,353
11,Beta_LineChain;Beta_AllEqual;Delta_Extremist,30.706,27.102,35.894,33.583,23.104,21.331,36.215,38.329,17.216,20.448,EVOLVING,1000.0,71,32,32,385
12,Beta_ModuloStep;Alpha_Reversed;Delta_Extremist,30.706,31.035,35.894,33.583,23.104,21.331,39.939,38.329,17.216,23.917,EVOLVING,1000.0,71,32,32,417
13,Gamma_LoadFactor;Beta_LineChain;Beta_ModuloStep,30.706,36.252,42.916,33.583,26.061,21.331,39.939,38.329,17.216,23.917,EVOLVING,1000.0,67,38,38,455
14,Beta_ModuloStep;Gamma_Disconnected;Alpha_StarGraph,30.706,39.207,42.916,38.13,26.061,24.093,39.939,38.329,17.216,23.917,EVOLVING,1000.0,77,40,40,495
15,Delta_Extremist;Gamma_Disconnected;Beta_ModuloStep,30.706,42.495,42.916,38.13,26.061,29.052,39.939,38.329,17.216,27.799,EVOLVING,1000.0,80,37,37,532
16,Beta_ModuloStep;Gamma_Sawtooth;Beta_AllEqual,30.706,49.506,42.916,38.13,26.061,29.052,39.939,40.696,19.252,27.799,EVOLVING,1000.0,77,35,35,567
17,Alpha_StarGraph;Gamma_Sawtooth;Beta_AllEqual,30.706,49.506,42.916,45.017,26.061,29.052,39.939,43.319,21.648,27.799,EVOLVING,1000.0,65,38,38,605
18,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,30.706,49.506,42.916,51.246,29.743,29.052,39.939,48.724,21.648,27.799,EVOLVING,1000.0,67,37,37,642
19,Gamma_Sawtooth;Alpha_StarGraph;Alpha_Reversed,30.706,49.506,42.916,55.309,29.743,29.052,43.451,48.724,23.816,27.799,EVOLVING,1000.0,66,40,40,682
20,Gamma_LoadFactor;Gamma_Sawtooth;Alpha_HashCollision,34.315,49.506,49.063,55.309,29.743,29.052,43.451,48.724,26.91,27.799,EVOLVING,1000.0,66,33,33,715
21,Gamma_Sawtooth;Alpha_StarGraph;Alpha_Reversed,34.315,49.506,49.063,66.545,29.743,29.052,48.987,48.724,32.418,27.799,EVOLVING,1000.0,79,33,33,748
22,Beta_ModuloStep;Beta_AllEqual;Alpha_HashCollision,42.219,62.277,49.063,66.545,29.743,29.052,48.987,54.374,32.418,27.799,EVOLVING,1000.0,78,40,40,788
23,Gamma_Disconnected;Alpha_Reversed;Beta_ModuloStep,42.219,69.059,49.063,66.545,29.743,34.768,62.367,54.374,32.418,27.799,EVOLVING,1000.0,68,37,37,825
24,Delta_Extremist;Beta_AllEqual;Gamma_LoadFactor,42.219,69.059,64.437,66.545,29.743,34.768,62.367,69.312,32.418,33.91,EVOLVING,1000.0,69,38,38,863
25,Beta_LineChain;Gamma_LoadFactor;Beta_AllEqual,42.219,69.059,76.992,66.545,38.906,34.768,62.367,84.828,32.418,33.91,EVOLVING,1000.0,67,32,32,895
26,Alpha_HashCollision;Gamma_LoadFactor;Gamma_Disconnected,48.173,69.059,93.068,66.545,38.906,39.509,62.367,84.828,32.418,33.91,EVOLVING,1000.0,68,39,39,934
27,Gamma_LoadFactor;Gamma_Sawtooth;Beta_ModuloStep,48.173,86.087,116.082,66.545,38.906,39.509,62.367,84.828,37.819,33.91,EVOLVING,1000.0,70,32,32,966
28,Gamma_LoadFactor;Gamma_Disconnected;Beta_AllEqual,48.173,86.087,132.841,66.545,38.906,50.359,62.367,95.206,37.819,33.91,EVOLVING,1000.0,74,35,35,1001
29,Alpha_Reversed;Beta_ModuloStep;Alpha_HashCollision,61.637,100.477,132.841,66.545,38.906,50.359,74.788,95.206,37.819,33.91,EVOLVING,1000.0,80,34,34,1035
30,Gamma_LoadFactor;Beta_LineChain;Alpha_Reversed,61.637,100.477,1400.65,66.545,47.076,50.359,88.284,95.206,37.819,33.91,TLE_ACHIEVED,1000.0,80,32,32,1067
