Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,39.479,60.415,0.0,EVOLVING
2,65.886,60.415,0.0,EVOLVING
3,273.355,60.415,0.0,EVOLVING
4,273.355,273.355,273.355,EVOLVING
5,273.355,273.355,273.355,EVOLVING
6,273.355,273.355,273.355,EVOLVING
7,273.355,273.355,273.355,EVOLVING
8,273.355,273.355,273.355,EVOLVING
9,273.355,273.355,273.355,EVOLVING
10,273.355,273.355,273.355,EVOLVING
11,273.355,273.355,273.355,EVOLVING
12,273.355,273.355,273.355,EVOLVING
13,273.355,273.355,273.355,EVOLVING
14,273.355,273.355,273.355,EVOLVING
15,273.355,273.355,273.355,EVOLVING
16,273.355,273.355,273.355,EVOLVING
17,273.355,273.355,273.355,EVOLVING
18,273.355,273.355,273.355,EVOLVING
19,273.355,273.355,273.355,EVOLVING
20,273.355,273.355,273.355,EVOLVING
21,273.355,273.355,273.355,EVOLVING
22,273.355,273.355,273.355,EVOLVING
23,273.355,273.355,273.355,EVOLVING
24,273.355,273.355,273.355,EVOLVING
25,273.355,273.355,273.355,EVOLVING
26,273.355,273.355,273.355,EVOLVING
27,273.355,273.355,273.355,EVOLVING
28,273.355,273.355,273.355,EVOLVING
29,273.355,273.355,273.355,EVOLVING
30,273.355,273.355,273.355,EVOLVING
