Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,17.946,64.49,0.0,EVOLVING
2,146.53,64.49,0.0,EVOLVING
3,377.547,64.49,0.0,EVOLVING
4,377.547,377.547,377.547,EVOLVING
5,377.547,377.547,377.547,EVOLVING
6,377.547,377.547,377.547,EVOLVING
7,377.547,377.547,377.547,EVOLVING
8,439.396,382.627,377.547,EVOLVING
9,439.396,382.627,377.547,EVOLVING
10,439.396,439.396,439.396,EVOLVING
11,439.396,439.396,439.396,EVOLVING
12,439.396,439.396,439.396,EVOLVING
13,439.396,439.396,439.396,EVOLVING
14,439.396,439.396,439.396,EVOLVING
15,439.396,439.396,439.396,EVOLVING
16,439.396,439.396,439.396,EVOLVING
17,439.396,439.396,439.396,EVOLVING
18,439.396,439.396,439.396,EVOLVING
19,439.396,439.396,439.396,EVOLVING
20,439.396,439.396,439.396,EVOLVING
21,439.396,439.396,439.396,EVOLVING
22,439.396,439.396,439.396,EVOLVING
23,439.396,543.274,439.396,EVOLVING
24,439.396,543.274,439.396,EVOLVING
25,543.274,543.274,543.274,EVOLVING
26,543.274,543.274,543.274,EVOLVING
27,543.274,543.274,543.274,EVOLVING
28,543.274,543.274,543.274,EVOLVING
29,543.274,543.274,543.274,EVOLVING
30,543.274,543.274,543.274,EVOLVING
