Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_AllEqual;Gamma_Disconnected;Alpha_Reversed,19.764,25.022,12.091,18.017,23.842,38.094,43.079,38.287,14.96,22.355,EVOLVING,2000.0,223,75,298,298
2,Alpha_Reversed;Delta_Extremist;Gamma_Disconnected,19.764,25.022,12.091,18.017,23.842,79.404,81.787,38.287,14.96,82.263,EVOLVING,2000.0,219,78,297,595
3,Beta_AllEqual;Beta_ModuloStep;Alpha_StarGraph,19.764,96.196,12.091,113.193,23.842,79.404,81.787,98.471,14.96,82.263,EVOLVING,2000.0,205,71,276,871
4,Delta_Extremist;Gamma_LoadFactor;Beta_AllEqual,19.764,96.196,135.887,113.193,23.842,79.404,81.787,126.073,14.96,132.017,EVOLVING,2000.0,210,76,286,1157
5,Alpha_HashCollision;Gamma_Sawtooth;Alpha_Reversed,168.49,96.196,135.887,113.193,23.842,79.404,171.516,126.073,179.437,132.017,EVOLVING,2000.0,209,77,286,1443
6,Alpha_HashCollision;Gamma_Disconnected;Beta_LineChain,181.276,96.196,135.887,113.193,211.912,214.494,171.516,126.073,179.437,132.017,EVOLVING,2000.0,219,71,290,1733
7,Gamma_Disconnected;Alpha_StarGraph;Beta_AllEqual,181.276,96.196,135.887,219.513,211.912,214.494,171.516,198.596,179.437,132.017,EVOLVING,2000.0,210,75,285,2018
8,Gamma_Sawtooth;Delta_Extremist;Beta_AllEqual,181.276,96.196,135.887,219.513,211.912,214.494,171.516,239.928,210.691,226.057,EVOLVING,2000.0,220,79,299,2317
9,Beta_AllEqual;Beta_LineChain;Alpha_HashCollision,257.416,96.196,135.887,219.513,240.813,214.494,171.516,264.327,210.691,226.057,EVOLVING,2000.0,211,67,278,2595
10,Alpha_HashCollision;Alpha_Reversed;Beta_ModuloStep,257.416,300.659,135.887,219.513,240.813,214.494,247.717,264.327,210.691,226.057,EVOLVING,2000.0,212,74,286,2881
11,Gamma_LoadFactor;Beta_AllEqual;Beta_ModuloStep,257.416,320.193,315.64,219.513,240.813,214.494,247.717,292.373,210.691,226.057,EVOLVING,2000.0,223,68,291,3172
12,Alpha_StarGraph;Gamma_LoadFactor;Alpha_HashCollision,347.732,320.193,315.64,341.165,240.813,214.494,247.717,292.373,210.691,226.057,EVOLVING,2000.0,222,75,297,3469
13,Beta_ModuloStep;Alpha_Reversed;Alpha_StarGraph,347.732,336.599,315.64,347.425,240.813,214.494,302.014,292.373,210.691,226.057,EVOLVING,2000.0,218,81,299,3768
14,Delta_Extremist;Gamma_Sawtooth;Alpha_Reversed,347.732,336.599,315.64,347.425,240.813,214.494,370.386,292.373,357.024,353.882,EVOLVING,2000.0,223,75,298,4066
15,Beta_ModuloStep;Gamma_LoadFactor;Delta_Extremist,347.732,336.599,358.897,347.425,240.813,214.494,370.386,292.373,357.024,353.882,EVOLVING,2000.0,221,80,301,4367
16,Gamma_Disconnected;Alpha_Reversed;Alpha_StarGraph,347.732,336.599,358.897,366.893,240.813,377.599,403.787,292.373,357.024,353.882,EVOLVING,2000.0,219,80,299,4666
17,Gamma_Sawtooth;Alpha_StarGraph;Alpha_HashCollision,347.732,336.599,358.897,401.059,240.813,377.599,403.787,292.373,403.354,353.882,EVOLVING,2000.0,212,74,286,4952
18,Alpha_Reversed;Alpha_StarGraph;Gamma_Sawtooth,347.732,336.599,358.897,425.424,240.813,377.599,413.568,292.373,403.354,353.882,EVOLVING,2000.0,210,70,280,5232
19,Gamma_Sawtooth;Beta_LineChain;Beta_AllEqual,347.732,336.599,358.897,425.424,349.586,377.599,413.568,420.705,403.354,353.882,EVOLVING,2000.0,220,69,289,5521
20,Alpha_Reversed;Beta_LineChain;Gamma_Disconnected,347.732,336.599,358.897,425.424,443.887,377.599,413.568,420.705,403.354,353.882,EVOLVING,2000.0,216,76,292,5813
21,Delta_Extremist;Alpha_Reversed;Gamma_LoadFactor,347.732,336.599,433.955,425.424,443.887,377.599,416.21,420.705,403.354,371.826,EVOLVING,2000.0,225,77,302,6115
22,Alpha_HashCollision;Gamma_Disconnected;Beta_ModuloStep,459.491,405.795,433.955,425.424,443.887,406.317,416.21,420.705,403.354,371.826,EVOLVING,2000.0,223,75,298,6413
23,Beta_AllEqual;Gamma_LoadFactor;Beta_ModuloStep,459.491,405.795,462.212,425.424,443.887,406.317,416.21,420.705,403.354,371.826,EVOLVING,2000.0,212,81,293,6706
24,Gamma_Sawtooth;Beta_LineChain;Gamma_LoadFactor,459.491,405.795,462.212,425.424,443.887,406.317,416.21,420.705,430.888,371.826,EVOLVING,2000.0,209,80,289,6995
25,Beta_ModuloStep;Alpha_HashCollision;Beta_AllEqual,459.491,411.787,462.212,425.424,443.887,406.317,416.21,420.705,430.888,371.826,EVOLVING,2000.0,209,78,287,7282
26,Beta_AllEqual;Delta_Extremist;Alpha_HashCollision,489.669,411.787,462.212,425.424,443.887,406.317,416.21,447.708,430.888,415.769,EVOLVING,2000.0,221,80,301,7583
27,Gamma_Disconnected;Gamma_LoadFactor;Alpha_Reversed,489.669,411.787,462.212,425.424,443.887,434.843,416.21,447.708,430.888,415.769,EVOLVING,2000.0,213,71,284,7867
28,Gamma_Disconnected;Beta_LineChain;Gamma_LoadFactor,489.669,411.787,462.212,425.424,443.887,446.744,416.21,447.708,430.888,415.769,EVOLVING,2000.0,210,81,291,8158
29,Beta_AllEqual;Gamma_Sawtooth;Gamma_LoadFactor,489.669,411.787,462.535,425.424,443.887,446.744,416.21,447.708,430.888,415.769,EVOLVING,2000.0,215,79,294,8452
