Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_LoadFactor;Alpha_HashCollision;Beta_AllEqual,53.783,25.718,46.497,24.708,25.347,20.728,17.972,47.904,13.953,25.762,EVOLVING,2000.0,218,77,295,295
2,Gamma_LoadFactor;Gamma_Sawtooth;Alpha_Reversed,53.783,25.718,85.735,24.708,25.347,20.728,92.754,47.904,104.852,25.762,EVOLVING,2000.0,225,75,300,595
3,Alpha_HashCollision;Beta_LineChain;Gamma_LoadFactor,134.855,25.718,132.504,24.708,125.911,20.728,92.754,47.904,104.852,25.762,EVOLVING,2000.0,223,74,297,892
4,Beta_ModuloStep;Alpha_StarGraph;Gamma_LoadFactor,134.855,160.436,154.516,195.97,125.911,20.728,92.754,47.904,104.852,25.762,EVOLVING,2000.0,220,72,292,1184
5,Alpha_Reversed;Gamma_Sawtooth;Alpha_HashCollision,227.982,160.436,154.516,195.97,125.911,20.728,229.641,47.904,208.751,25.762,EVOLVING,2000.0,212,70,282,1466
6,Gamma_LoadFactor;Beta_AllEqual;Beta_LineChain,227.982,160.436,257.512,195.97,216.679,20.728,229.641,261.165,208.751,25.762,EVOLVING,2000.0,225,68,293,1759
7,Beta_ModuloStep;Delta_Extremist;Gamma_LoadFactor,227.982,300.234,263.043,195.97,216.679,20.728,229.641,261.165,208.751,293.031,EVOLVING,2000.0,209,78,287,2046
8,Alpha_HashCollision;Alpha_StarGraph;Beta_AllEqual,275.518,300.234,263.043,263.741,216.679,20.728,229.641,284.107,208.751,293.031,EVOLVING,2000.0,219,74,293,2339
9,Alpha_Reversed;Gamma_LoadFactor;Alpha_StarGraph,275.518,300.234,309.162,361.421,216.679,20.728,334.127,284.107,208.751,293.031,EVOLVING,2000.0,220,76,296,2635
10,Gamma_LoadFactor;Alpha_Reversed;Beta_ModuloStep,275.518,357.921,391.421,361.421,216.679,20.728,352.139,284.107,208.751,293.031,EVOLVING,2000.0,208,68,276,2911
11,Alpha_Reversed;Gamma_Disconnected;Delta_Extremist,275.518,357.921,391.421,361.421,216.679,330.517,352.656,284.107,208.751,406.051,EVOLVING,2000.0,221,72,293,3204
12,Gamma_Sawtooth;Alpha_HashCollision;Alpha_StarGraph,376.172,357.921,391.421,379.687,216.679,330.517,352.656,284.107,426.179,406.051,EVOLVING,2000.0,214,72,286,3490
13,Alpha_Reversed;Gamma_Sawtooth;Alpha_StarGraph,376.172,357.921,391.421,419.02,216.679,330.517,425.627,284.107,435.558,406.051,EVOLVING,2000.0,224,73,297,3787
14,Beta_AllEqual;Gamma_Sawtooth;Alpha_StarGraph,376.172,357.921,391.421,478.204,216.679,330.517,425.627,406.996,467.184,406.051,EVOLVING,2000.0,212,78,290,4077
15,Alpha_StarGraph;Gamma_Sawtooth;Beta_ModuloStep,376.172,489.672,391.421,478.204,216.679,330.517,425.627,406.996,467.184,406.051,EVOLVING,2000.0,216,78,294,4371
16,Beta_LineChain;Gamma_Disconnected;Gamma_LoadFactor,376.172,489.672,405.216,478.204,447.193,487.273,425.627,406.996,467.184,406.051,EVOLVING,2000.0,217,74,291,4662
17,Alpha_StarGraph;Alpha_Reversed;Beta_LineChain,376.172,489.672,405.216,478.204,516.298,487.273,467.274,406.996,467.184,406.051,EVOLVING,2000.0,212,80,292,4954
18,Gamma_Sawtooth;Alpha_StarGraph;Delta_Extremist,376.172,489.672,405.216,511.648,516.298,487.273,467.274,406.996,467.184,451.219,EVOLVING,2000.0,210,77,287,5241
19,Delta_Extremist;Beta_ModuloStep;Gamma_LoadFactor,376.172,489.672,476.364,511.648,516.298,487.273,467.274,406.996,467.184,500.426,EVOLVING,2000.0,214,74,288,5529
20,Alpha_HashCollision;Alpha_StarGraph;Gamma_LoadFactor,538.968,489.672,521.542,533.422,516.298,487.273,467.274,406.996,467.184,500.426,EVOLVING,2000.0,218,75,293,5822
21,Gamma_LoadFactor;Beta_ModuloStep;Gamma_Disconnected,538.968,524.107,521.542,533.422,516.298,490.1,467.274,406.996,467.184,500.426,EVOLVING,2000.0,219,77,296,6118
22,Gamma_Sawtooth;Alpha_HashCollision;Beta_LineChain,559.637,524.107,521.542,533.422,528.368,490.1,467.274,406.996,467.184,500.426,EVOLVING,2000.0,212,74,286,6404
23,Alpha_StarGraph;Beta_AllEqual;Delta_Extremist,559.637,524.107,521.542,582.709,528.368,490.1,467.274,554.85,467.184,531.598,EVOLVING,2000.0,215,74,289,6693
24,Beta_AllEqual;Gamma_Sawtooth;Beta_LineChain,559.637,524.107,521.542,582.709,593.519,490.1,467.274,554.85,528.528,531.598,EVOLVING,2000.0,214,72,286,6979
25,Alpha_Reversed;Beta_LineChain;Alpha_HashCollision,559.637,524.107,521.542,582.709,593.519,490.1,552.017,554.85,528.528,531.598,EVOLVING,2000.0,218,74,292,7271
26,Alpha_StarGraph;Gamma_Sawtooth;Beta_ModuloStep,559.637,526.056,521.542,582.709,593.519,490.1,552.017,554.85,528.528,531.598,EVOLVING,2000.0,214,75,289,7560
27,Alpha_HashCollision;Beta_ModuloStep;Gamma_Sawtooth,559.637,526.056,521.542,582.709,593.519,490.1,552.017,554.85,528.528,531.598,EVOLVING,2000.0,217,72,289,7849
28,Alpha_Reversed;Beta_AllEqual;Gamma_Disconnected,559.637,526.056,521.542,582.709,593.519,569.833,564.942,576.302,528.528,531.598,EVOLVING,2000.0,213,71,284,8133
29,Gamma_Disconnected;Delta_Extremist;Gamma_Sawtooth,559.637,526.056,521.542,582.709,593.519,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,212,74,286,8419
30,Beta_LineChain;Gamma_Disconnected;Gamma_LoadFactor,559.637,526.056,530.743,582.709,593.519,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,222,69,291,8710
31,Beta_ModuloStep;Beta_LineChain;Delta_Extremist,559.637,526.056,530.743,582.709,599.149,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,225,74,299,9009
32,Beta_LineChain;Delta_Extremist;Beta_ModuloStep,559.637,621.079,530.743,582.709,599.149,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,214,74,288,9297
33,Alpha_Reversed;Alpha_StarGraph;Beta_LineChain,559.637,621.079,530.743,630.942,599.149,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,221,74,295,9592
34,Beta_LineChain;Gamma_LoadFactor;Alpha_StarGraph,559.637,621.079,590.9,630.942,599.149,580.91,564.942,576.302,597.347,626.877,EVOLVING,2000.0,219,72,291,9883
35,Gamma_Sawtooth;Gamma_Disconnected;Alpha_StarGraph,559.637,621.079,590.9,630.942,599.149,630.589,564.942,576.302,597.347,626.877,EVOLVING,2000.0,209,72,281,10164
36,Beta_AllEqual;Beta_LineChain;Beta_ModuloStep,559.637,621.079,590.9,630.942,599.149,630.589,564.942,576.302,597.347,626.877,EVOLVING,2000.0,213,77,290,10454
37,Gamma_LoadFactor;Delta_Extremist;Beta_AllEqual,559.637,621.079,603.143,630.942,599.149,630.589,564.942,576.302,597.347,626.877,EVOLVING,2000.0,222,74,296,10750
38,Alpha_HashCollision;Gamma_Disconnected;Gamma_LoadFactor,570.763,621.079,634.894,630.942,599.149,653.999,564.942,576.302,597.347,626.877,EVOLVING,2000.0,219,75,294,11044
39,Beta_AllEqual;Gamma_LoadFactor;Alpha_HashCollision,585.091,621.079,634.894,630.942,599.149,653.999,564.942,576.302,597.347,626.877,EVOLVING,2000.0,219,71,290,11334
40,Beta_ModuloStep;Gamma_LoadFactor;Delta_Extremist,585.091,633.715,634.894,630.942,599.149,653.999,564.942,576.302,597.347,626.877,EVOLVING,2000.0,218,82,300,11634
41,Delta_Extremist;Gamma_Disconnected;Beta_ModuloStep,585.091,633.715,634.894,630.942,599.149,653.999,564.942,576.302,597.347,626.877,EVOLVING,2000.0,217,77,294,11928
42,Beta_LineChain;Alpha_StarGraph;Gamma_Disconnected,585.091,633.715,634.894,630.942,599.149,653.999,564.942,576.302,597.347,626.877,EVOLVING,2000.0,217,72,289,12217
43,Delta_Extremist;Gamma_Disconnected;Beta_AllEqual,585.091,633.715,634.894,630.942,599.149,653.999,564.942,644.732,597.347,626.877,EVOLVING,2000.0,212,72,284,12501
44,Alpha_Reversed;Gamma_LoadFactor;Beta_AllEqual,585.091,633.715,634.894,630.942,599.149,653.999,611.405,644.732,597.347,626.877,EVOLVING,2000.0,214,79,293,12794
45,Alpha_HashCollision;Alpha_Reversed;Delta_Extremist,585.091,633.715,634.894,630.942,599.149,653.999,640.387,644.732,597.347,644.184,EVOLVING,2000.0,214,79,293,13087
46,Gamma_Sawtooth;Gamma_Disconnected;Beta_AllEqual,585.091,633.715,634.894,630.942,599.149,653.999,640.387,661.799,597.347,644.184,EVOLVING,2000.0,209,75,284,13371
47,Gamma_Disconnected;Alpha_HashCollision;Beta_ModuloStep,634.91,657.143,634.894,630.942,599.149,674.064,640.387,661.799,597.347,644.184,EVOLVING,2000.0,212,76,288,13659
48,Gamma_Sawtooth;Gamma_LoadFactor;Alpha_StarGraph,634.91,657.143,634.894,630.942,599.149,674.064,640.387,661.799,675.281,644.184,EVOLVING,2000.0,220,73,293,13952
49,Gamma_Sawtooth;Alpha_StarGraph;Delta_Extremist,634.91,657.143,634.894,630.942,599.149,674.064,640.387,661.799,675.281,649.391,EVOLVING,2000.0,214,73,287,14239
50,Beta_LineChain;Alpha_HashCollision;Beta_AllEqual,634.91,657.143,634.894,630.942,599.149,674.064,640.387,661.799,675.281,649.391,EVOLVING,2000.0,217,74,291,14530
