Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_HashCollision;Beta_AllEqual;Gamma_LoadFactor,60.927,13.304,52.129,25.615,15.251,25.014,20.545,53.501,21.884,15.956,EVOLVING,2000.0,217,76,293,293
2,Gamma_LoadFactor;Beta_AllEqual;Delta_Extremist,60.927,13.304,108.523,25.615,15.251,25.014,20.545,103.081,21.884,118.961,EVOLVING,2000.0,217,72,289,582
3,Beta_LineChain;Alpha_Reversed;Beta_ModuloStep,60.927,175.772,108.523,25.615,158.779,25.014,147.205,103.081,21.884,118.961,EVOLVING,2000.0,218,75,293,875
4,Alpha_StarGraph;Alpha_Reversed;Beta_ModuloStep,60.927,221.338,108.523,182.763,158.779,25.014,205.79,103.081,21.884,118.961,EVOLVING,2000.0,214,72,286,1161
5,Beta_ModuloStep;Beta_AllEqual;Alpha_StarGraph,60.927,267.248,108.523,270.856,158.779,25.014,205.79,227.62,21.884,118.961,EVOLVING,2000.0,215,75,290,1451
6,Beta_AllEqual;Delta_Extremist;Gamma_Disconnected,60.927,267.248,108.523,270.856,158.779,271.522,205.79,275.614,21.884,275.92,EVOLVING,2000.0,210,74,284,1735
7,Delta_Extremist;Gamma_LoadFactor;Alpha_StarGraph,60.927,267.248,334.108,313.661,158.779,271.522,205.79,275.614,21.884,337.946,EVOLVING,2000.0,217,71,288,2023
8,Delta_Extremist;Alpha_HashCollision;Beta_LineChain,379.19,267.248,334.108,313.661,361.444,271.522,205.79,275.614,21.884,350.81,EVOLVING,2000.0,208,70,278,2301
9,Alpha_Reversed;Beta_AllEqual;Alpha_HashCollision,418.52,267.248,334.108,313.661,361.444,271.522,349.76,405.027,21.884,350.81,EVOLVING,2000.0,217,73,290,2591
10,Delta_Extremist;Beta_LineChain;Gamma_Sawtooth,418.52,267.248,334.108,313.661,425.788,271.522,349.76,405.027,450.678,359.494,EVOLVING,2000.0,217,79,296,2887
11,Beta_LineChain;Alpha_HashCollision;Gamma_Sawtooth,476.082,267.248,334.108,313.661,444.72,271.522,349.76,405.027,452.373,359.494,EVOLVING,2000.0,211,75,286,3173
12,Gamma_Sawtooth;Beta_LineChain;Beta_AllEqual,476.082,267.248,334.108,313.661,507.021,271.522,349.76,491.122,495.834,359.494,EVOLVING,2000.0,213,75,288,3461
13,Alpha_HashCollision;Gamma_LoadFactor;Gamma_Sawtooth,506.61,267.248,417.844,313.661,507.021,271.522,349.76,491.122,495.834,359.494,EVOLVING,2000.0,223,76,299,3760
14,Beta_LineChain;Gamma_Sawtooth;Beta_ModuloStep,506.61,536.298,417.844,313.661,507.021,271.522,349.76,491.122,510.343,359.494,EVOLVING,2000.0,218,77,295,4055
15,Beta_LineChain;Beta_ModuloStep;Delta_Extremist,506.61,572.213,417.844,313.661,544.559,271.522,349.76,491.122,510.343,484.401,EVOLVING,2000.0,209,75,284,4339
16,Beta_ModuloStep;Alpha_StarGraph;Beta_LineChain,506.61,572.213,417.844,483.969,551.274,271.522,349.76,491.122,510.343,484.401,EVOLVING,2000.0,216,80,296,4635
17,Alpha_HashCollision;Gamma_Sawtooth;Alpha_StarGraph,560.604,572.213,417.844,580.624,551.274,271.522,349.76,491.122,548.509,484.401,EVOLVING,2000.0,217,81,298,4933
18,Beta_LineChain;Gamma_Sawtooth;Alpha_StarGraph,560.604,572.213,417.844,580.624,551.274,271.522,349.76,491.122,548.509,484.401,EVOLVING,2000.0,217,76,293,5226
19,Delta_Extremist;Gamma_LoadFactor;Alpha_StarGraph,560.604,572.213,613.274,600.777,551.274,271.522,349.76,491.122,548.509,581.698,EVOLVING,2000.0,217,78,295,5521
20,Gamma_Sawtooth;Beta_AllEqual;Alpha_HashCollision,637.115,572.213,613.274,600.777,551.274,271.522,349.76,647.841,568.277,581.698,EVOLVING,2000.0,219,78,297,5818
21,Alpha_Reversed;Beta_LineChain;Gamma_LoadFactor,637.115,572.213,613.274,600.777,661.898,271.522,594.902,647.841,568.277,581.698,EVOLVING,2000.0,222,72,294,6112
22,Alpha_StarGraph;Alpha_HashCollision;Gamma_Disconnected,637.115,572.213,613.274,663.522,661.898,655.687,594.902,647.841,568.277,581.698,EVOLVING,2000.0,210,76,286,6398
23,Beta_ModuloStep;Beta_AllEqual;Delta_Extremist,637.115,647.893,613.274,663.522,661.898,655.687,594.902,658.028,568.277,599.701,EVOLVING,2000.0,215,74,289,6687
