Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_LoadFactor;Alpha_StarGraph;Alpha_HashCollision,25.763,22.54,28.946,10.472,21.529,25.266,14.803,23.226,20.71,14.49,EVOLVING,2000.0,211,74,285,285
2,Beta_ModuloStep;Delta_Extremist;Gamma_Sawtooth,25.763,24.918,28.946,10.472,21.529,25.266,14.803,23.226,24.781,17.504,EVOLVING,2000.0,216,75,291,576
3,Alpha_HashCollision;Gamma_Sawtooth;Delta_Extremist,29.12,24.918,28.946,10.472,21.529,25.266,14.803,23.226,29.792,20.052,EVOLVING,2000.0,222,73,295,871
4,Alpha_StarGraph;Gamma_Sawtooth;Gamma_Disconnected,29.12,24.918,28.946,12.083,21.529,28.408,14.803,23.226,32.555,20.052,EVOLVING,2000.0,222,77,299,1170
5,Beta_AllEqual;Gamma_LoadFactor;Alpha_HashCollision,34.271,24.918,31.547,12.083,21.529,28.408,14.803,25.571,32.555,20.052,EVOLVING,2000.0,223,80,303,1473
6,Beta_AllEqual;Alpha_StarGraph;Beta_LineChain,34.271,24.918,31.547,14.358,26.138,28.408,14.803,30.686,32.555,20.052,EVOLVING,2000.0,225,74,299,1772
7,Gamma_Disconnected;Alpha_StarGraph;Beta_ModuloStep,34.271,26.927,31.547,16.968,26.138,31.93,14.803,30.686,32.555,20.052,EVOLVING,2000.0,219,81,300,2072
8,Delta_Extremist;Gamma_Sawtooth;Beta_AllEqual,34.271,26.927,31.547,16.968,26.138,31.93,14.803,34.016,38.326,22.791,EVOLVING,2000.0,210,77,287,2359
9,Alpha_HashCollision;Beta_AllEqual;Gamma_LoadFactor,40.423,26.927,35.049,16.968,26.138,31.93,14.803,38.462,38.326,22.791,EVOLVING,2000.0,217,75,292,2651
10,Gamma_LoadFactor;Alpha_Reversed;Beta_LineChain,40.423,26.927,39.4,16.968,28.266,31.93,18.152,38.462,38.326,22.791,EVOLVING,2000.0,221,80,301,2952
11,Gamma_LoadFactor;Beta_ModuloStep;Alpha_Reversed,40.423,29.79,42.317,16.968,28.266,31.93,20.766,38.462,38.326,22.791,EVOLVING,2000.0,217,70,287,3239
12,Alpha_Reversed;Beta_AllEqual;Alpha_HashCollision,46.039,29.79,42.317,16.968,28.266,31.93,22.771,42.109,38.326,22.791,EVOLVING,2000.0,215,71,286,3525
13,Alpha_Reversed;Gamma_Disconnected;Beta_ModuloStep,46.039,35.356,42.317,16.968,28.266,36.257,25.979,42.109,38.326,22.791,EVOLVING,2000.0,209,80,289,3814
14,Alpha_HashCollision;Gamma_Sawtooth;Alpha_StarGraph,52.376,35.356,42.317,19.663,28.266,36.257,25.979,42.109,44.599,22.791,EVOLVING,2000.0,210,80,290,4104
15,Beta_LineChain;Beta_ModuloStep;Alpha_Reversed,52.376,38.597,42.317,19.663,31.793,36.257,27.628,42.109,44.599,22.791,EVOLVING,2000.0,216,81,297,4401
16,Alpha_StarGraph;Gamma_Disconnected;Alpha_HashCollision,60.465,38.597,42.317,22.835,31.793,39.816,27.628,42.109,44.599,22.791,EVOLVING,2000.0,218,76,294,4695
17,Beta_ModuloStep;Beta_AllEqual;Gamma_Sawtooth,60.465,43.177,42.317,22.835,31.793,39.816,27.628,46.629,49.642,22.791,EVOLVING,2000.0,219,68,287,4982
18,Alpha_HashCollision;Gamma_Sawtooth;Gamma_LoadFactor,71.352,43.177,50.428,22.835,31.793,39.816,27.628,46.629,64.52,22.791,EVOLVING,2000.0,212,67,279,5261
19,Beta_AllEqual;Gamma_Disconnected;Delta_Extremist,71.352,43.177,50.428,22.835,31.793,49.687,27.628,58.908,64.52,28.341,EVOLVING,2000.0,213,73,286,5547
20,Beta_ModuloStep;Delta_Extremist;Gamma_LoadFactor,71.352,50.472,64.859,22.835,31.793,49.687,27.628,58.908,64.52,33.978,EVOLVING,2000.0,216,76,292,5839
21,Alpha_StarGraph;Alpha_Reversed;Gamma_Sawtooth,71.352,50.472,64.859,28.549,31.793,49.687,34.497,58.908,72.158,33.978,EVOLVING,2000.0,215,74,289,6128
22,Beta_LineChain;Delta_Extremist;Alpha_HashCollision,88.965,50.472,64.859,28.549,37.646,49.687,34.497,58.908,72.158,42.116,EVOLVING,2000.0,216,79,295,6423
23,Beta_AllEqual;Beta_LineChain;Beta_ModuloStep,88.965,60.46,64.859,28.549,49.684,49.687,34.497,69.606,72.158,42.116,EVOLVING,2000.0,221,77,298,6721
24,Gamma_Disconnected;Beta_LineChain;Alpha_StarGraph,88.965,60.46,64.859,35.572,63.745,61.717,34.497,69.606,72.158,42.116,EVOLVING,2000.0,213,77,290,7011
25,Beta_AllEqual;Alpha_StarGraph;Beta_LineChain,88.965,60.46,64.859,41.816,76.892,61.717,34.497,2358.5,72.158,42.116,TLE_ACHIEVED,2000.0,217,77,294,7305
