Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Delta_Extremist;Alpha_StarGraph;Beta_ModuloStep,21.447,18.802,20.606,20.7,25.485,9.441,15.632,25.935,10.729,21.034,EVOLVING,100.0,214,76,290,290
2,Beta_AllEqual;Alpha_Reversed;Gamma_LoadFactor,21.447,18.802,23.023,20.7,25.485,9.441,18.781,29.341,10.729,21.034,EVOLVING,100.0,216,73,289,579
3,Gamma_Disconnected;Alpha_Reversed;Beta_AllEqual,21.447,18.802,23.023,20.7,25.485,10.88,22.02,34.734,10.729,21.034,EVOLVING,100.0,224,77,301,880
4,Gamma_LoadFactor;Beta_LineChain;Gamma_Disconnected,21.447,18.802,25.582,20.7,30.327,12.161,22.02,34.734,10.729,21.034,EVOLVING,100.0,221,78,299,1179
5,Gamma_Sawtooth;Alpha_StarGraph;Gamma_Disconnected,21.447,18.802,25.582,24.774,30.327,15.09,22.02,34.734,13.433,21.034,EVOLVING,100.0,213,76,289,1468
6,Beta_AllEqual;Gamma_Disconnected;Alpha_HashCollision,24.63,18.802,25.582,24.774,30.327,16.209,22.02,37.436,13.433,21.034,EVOLVING,100.0,219,79,298,1766
7,Gamma_Sawtooth;Gamma_LoadFactor;Beta_LineChain,24.63,18.802,27.229,24.774,35.625,16.209,22.02,37.436,14.999,21.034,EVOLVING,100.0,225,75,300,2066
8,Beta_LineChain;Delta_Extremist;Alpha_Reversed,24.63,18.802,27.229,24.774,40.754,16.209,23.779,37.436,14.999,23.622,EVOLVING,100.0,220,76,296,2362
9,Delta_Extremist;Alpha_Reversed;Beta_AllEqual,24.63,18.802,27.229,24.774,40.754,16.209,26.197,43.462,14.999,27.886,EVOLVING,100.0,218,82,300,2662
10,Alpha_HashCollision;Beta_LineChain;Delta_Extremist,27.693,18.802,27.229,24.774,46.147,16.209,26.197,43.462,14.999,29.802,EVOLVING,100.0,218,72,290,2952
11,Gamma_Disconnected;Gamma_LoadFactor;Delta_Extremist,27.693,18.802,31.996,24.774,46.147,17.971,26.197,43.462,14.999,34.607,EVOLVING,100.0,212,77,289,3241
12,Delta_Extremist;Gamma_Disconnected;Alpha_StarGraph,27.693,18.802,31.996,31.598,46.147,24.922,26.197,43.462,14.999,42.553,EVOLVING,100.0,217,71,288,3529
13,Alpha_Reversed;Alpha_StarGraph;Delta_Extremist,27.693,18.802,31.996,41.888,46.147,24.922,33.749,43.462,14.999,50.21,EVOLVING,100.0,220,74,294,3823
14,Beta_ModuloStep;Gamma_LoadFactor;Delta_Extremist,27.693,23.206,40.62,41.888,46.147,24.922,33.749,43.462,14.999,57.47,EVOLVING,100.0,212,78,290,4113
15,Alpha_HashCollision;Beta_ModuloStep;Gamma_Disconnected,36.659,31.843,40.62,41.888,46.147,30.661,33.749,43.462,14.999,57.47,EVOLVING,100.0,218,71,289,4402
16,Gamma_Disconnected;Beta_ModuloStep;Alpha_HashCollision,48.566,37.442,40.62,41.888,46.147,38.829,33.749,43.462,14.999,57.47,EVOLVING,100.0,212,77,289,4691
17,Beta_LineChain;Alpha_HashCollision;Alpha_Reversed,45.0,37.442,40.62,41.888,709.23,38.829,39.331,43.462,14.999,57.47,TLE_ACHIEVED,100.0,216,71,287,4978
