Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_LoadFactor;Alpha_HashCollision;Beta_LineChain,47.791,18.819,51.512,23.514,48.722,12.808,25.548,13.82,18.507,21.623,EVOLVING,2000.0,74,40,40,40
2,Gamma_Sawtooth;Beta_LineChain;Beta_AllEqual,47.791,18.819,51.512,23.514,108.786,12.808,25.548,87.196,89.251,21.623,EVOLVING,2000.0,80,36,36,76
3,Gamma_Disconnected;Beta_LineChain;Gamma_LoadFactor,47.791,18.819,134.45,23.514,130.988,130.674,25.548,87.196,89.251,21.623,EVOLVING,2000.0,75,35,35,111
4,Gamma_Disconnected;Alpha_HashCollision;Alpha_StarGraph,187.64,18.819,134.45,183.535,130.988,162.577,25.548,87.196,89.251,21.623,EVOLVING,2000.0,71,40,40,151
5,Alpha_Reversed;Gamma_Disconnected;Alpha_HashCollision,221.496,18.819,134.45,183.535,130.988,190.488,208.521,87.196,89.251,21.623,EVOLVING,2000.0,67,38,38,189
6,Alpha_StarGraph;Beta_ModuloStep;Alpha_Reversed,221.496,225.523,134.45,260.539,130.988,190.488,267.063,87.196,89.251,21.623,EVOLVING,2000.0,70,39,39,228
7,Beta_ModuloStep;Gamma_Disconnected;Beta_AllEqual,221.496,283.633,134.45,260.539,130.988,267.246,267.063,258.493,89.251,21.623,EVOLVING,2000.0,78,36,36,264
8,Beta_ModuloStep;Alpha_StarGraph;Gamma_Sawtooth,221.496,341.219,134.45,311.761,130.988,267.246,267.063,258.493,324.323,21.623,EVOLVING,2000.0,71,35,35,299
9,Beta_ModuloStep;Delta_Extremist;Alpha_StarGraph,221.496,358.096,134.45,348.01,130.988,267.246,267.063,258.493,324.323,308.578,EVOLVING,2000.0,76,39,39,338
10,Gamma_Sawtooth;Beta_LineChain;Beta_ModuloStep,221.496,366.953,134.45,348.01,342.326,267.246,267.063,258.493,333.476,308.578,EVOLVING,2000.0,72,38,38,376
11,Gamma_LoadFactor;Alpha_StarGraph;Beta_LineChain,221.496,366.953,380.495,348.01,416.279,267.246,267.063,258.493,333.476,308.578,EVOLVING,2000.0,77,32,32,408
12,Alpha_Reversed;Delta_Extremist;Alpha_HashCollision,415.187,366.953,380.495,348.01,416.279,267.246,383.822,258.493,333.476,349.919,EVOLVING,2000.0,69,38,38,446
13,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,415.187,366.953,380.495,371.55,437.402,267.246,383.822,442.392,333.476,349.919,EVOLVING,2000.0,76,38,38,484
14,Beta_LineChain;Beta_AllEqual;Alpha_StarGraph,415.187,366.953,380.495,441.762,460.368,267.246,383.822,442.392,333.476,349.919,EVOLVING,2000.0,71,32,32,516
15,Alpha_HashCollision;Gamma_Sawtooth;Beta_AllEqual,433.553,366.953,380.495,441.762,460.368,267.246,383.822,466.115,394.774,349.919,EVOLVING,2000.0,80,35,35,551
16,Alpha_Reversed;Gamma_LoadFactor;Beta_ModuloStep,433.553,475.75,481.363,441.762,460.368,267.246,481.487,466.115,394.774,349.919,EVOLVING,2000.0,71,38,38,589
17,Gamma_Sawtooth;Alpha_Reversed;Delta_Extremist,433.553,475.75,481.363,441.762,460.368,267.246,481.487,466.115,501.274,432.975,EVOLVING,2000.0,73,37,37,626
18,Gamma_Disconnected;Gamma_LoadFactor;Gamma_Sawtooth,433.553,475.75,481.363,441.762,460.368,476.41,481.487,466.115,505.325,432.975,EVOLVING,2000.0,73,33,33,659
19,Alpha_StarGraph;Gamma_Disconnected;Gamma_LoadFactor,433.553,475.75,481.363,451.181,460.368,476.41,481.487,466.115,505.325,432.975,EVOLVING,2000.0,70,40,40,699
20,Gamma_Sawtooth;Beta_LineChain;Beta_ModuloStep,433.553,511.521,481.363,451.181,546.229,476.41,481.487,466.115,505.325,432.975,EVOLVING,2000.0,79,36,36,735
21,Alpha_Reversed;Gamma_Sawtooth;Delta_Extremist,433.553,511.521,481.363,451.181,546.229,476.41,481.487,466.115,505.325,557.286,EVOLVING,2000.0,78,40,40,775
22,Gamma_Disconnected;Beta_ModuloStep;Alpha_HashCollision,528.931,580.052,481.363,451.181,546.229,551.698,481.487,466.115,505.325,557.286,EVOLVING,2000.0,68,39,39,814
23,Gamma_Sawtooth;Alpha_HashCollision;Alpha_Reversed,573.922,580.052,481.363,451.181,546.229,551.698,543.788,466.115,594.336,557.286,EVOLVING,2000.0,65,38,38,852
24,Gamma_LoadFactor;Alpha_StarGraph;Beta_AllEqual,573.922,580.052,604.19,526.021,546.229,551.698,543.788,545.717,594.336,557.286,EVOLVING,2000.0,74,36,36,888
25,Alpha_Reversed;Gamma_LoadFactor;Gamma_Disconnected,573.922,580.052,604.19,526.021,546.229,601.199,599.109,545.717,594.336,557.286,EVOLVING,2000.0,78,39,39,927
26,Alpha_Reversed;Alpha_StarGraph;Beta_ModuloStep,573.922,612.249,604.19,526.021,546.229,601.199,613.148,545.717,594.336,557.286,EVOLVING,2000.0,80,37,37,964
27,Gamma_LoadFactor;Delta_Extremist;Gamma_Disconnected,573.922,612.249,604.19,526.021,546.229,601.199,613.148,545.717,594.336,569.917,EVOLVING,2000.0,75,37,37,1001
28,Gamma_Disconnected;Beta_ModuloStep;Delta_Extremist,573.922,612.249,604.19,526.021,546.229,601.199,613.148,545.717,594.336,569.917,EVOLVING,2000.0,72,34,34,1035
29,Gamma_LoadFactor;Gamma_Disconnected;Beta_LineChain,573.922,612.249,633.089,526.021,611.811,614.237,613.148,545.717,594.336,569.917,EVOLVING,2000.0,72,32,32,1067
30,Alpha_StarGraph;Alpha_Reversed;Beta_AllEqual,573.922,612.249,633.089,613.778,611.811,614.237,613.148,610.944,594.336,569.917,EVOLVING,2000.0,77,38,38,1105
31,Gamma_Sawtooth;Beta_LineChain;Beta_ModuloStep,573.922,612.249,633.089,613.778,611.811,614.237,613.148,610.944,633.008,569.917,EVOLVING,2000.0,77,35,35,1140
