Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_StarGraph;Beta_ModuloStep;Gamma_LoadFactor,8.316,51.821,55.732,51.652,24.094,11.097,23.424,21.691,9.233,10.564,EVOLVING,2000.0,214,78,292,292
2,Beta_LineChain;Gamma_Sawtooth;Beta_AllEqual,8.316,51.821,55.732,51.652,111.139,11.097,23.424,122.133,109.623,10.564,EVOLVING,2000.0,217,76,293,585
3,Gamma_LoadFactor;Beta_LineChain;Beta_ModuloStep,8.316,178.157,179.868,51.652,143.439,11.097,23.424,122.133,109.623,10.564,EVOLVING,2000.0,221,75,296,881
4,Beta_AllEqual;Beta_ModuloStep;Alpha_Reversed,8.316,206.03,179.868,51.652,143.439,11.097,218.374,220.581,109.623,10.564,EVOLVING,2000.0,218,74,292,1173
5,Beta_AllEqual;Delta_Extremist;Gamma_Sawtooth,8.316,206.03,179.868,51.652,143.439,11.097,218.374,220.581,256.807,273.87,EVOLVING,2000.0,219,83,302,1475
6,Beta_AllEqual;Gamma_Sawtooth;Gamma_Disconnected,8.316,206.03,179.868,51.652,143.439,294.565,218.374,258.577,271.236,273.87,EVOLVING,2000.0,214,67,281,1756
7,Beta_ModuloStep;Alpha_Reversed;Gamma_LoadFactor,8.316,351.883,321.438,51.652,143.439,294.565,351.094,258.577,271.236,273.87,EVOLVING,2000.0,208,74,282,2038
8,Alpha_HashCollision;Beta_LineChain;Alpha_Reversed,359.473,351.883,321.438,51.652,318.927,294.565,351.094,258.577,271.236,273.87,EVOLVING,2000.0,218,71,289,2327
9,Alpha_Reversed;Beta_LineChain;Gamma_Sawtooth,359.473,351.883,321.438,51.652,369.269,294.565,351.094,258.577,397.615,273.87,EVOLVING,2000.0,217,74,291,2618
10,Delta_Extremist;Gamma_Disconnected;Beta_ModuloStep,359.473,401.012,321.438,51.652,369.269,446.101,351.094,258.577,397.615,424.789,EVOLVING,2000.0,207,80,287,2905
11,Alpha_Reversed;Beta_LineChain;Delta_Extremist,359.473,401.012,321.438,51.652,431.403,446.101,425.631,258.577,397.615,424.789,EVOLVING,2000.0,218,74,292,3197
12,Alpha_Reversed;Alpha_HashCollision;Alpha_StarGraph,496.481,401.012,321.438,426.372,431.403,446.101,474.27,258.577,397.615,424.789,EVOLVING,2000.0,222,74,296,3493
13,Delta_Extremist;Beta_ModuloStep;Alpha_HashCollision,496.481,478.092,321.438,426.372,431.403,446.101,474.27,258.577,397.615,493.122,EVOLVING,2000.0,214,83,297,3790
14,Beta_LineChain;Alpha_Reversed;Beta_AllEqual,496.481,478.092,321.438,426.372,450.369,446.101,526.324,515.772,397.615,493.122,EVOLVING,2000.0,217,81,298,4088
15,Alpha_HashCollision;Beta_ModuloStep;Gamma_Sawtooth,509.367,499.475,321.438,426.372,450.369,446.101,526.324,515.772,493.318,493.122,EVOLVING,2000.0,218,74,292,4380
16,Alpha_HashCollision;Beta_AllEqual;Beta_LineChain,509.367,499.475,321.438,426.372,518.641,446.101,526.324,537.442,493.318,493.122,EVOLVING,2000.0,225,69,294,4674
17,Alpha_StarGraph;Beta_ModuloStep;Alpha_Reversed,509.367,511.328,321.438,513.146,518.641,446.101,526.324,537.442,493.318,493.122,EVOLVING,2000.0,222,76,298,4972
