Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_StarGraph;Beta_AllEqual;Alpha_Reversed,19.544,17.757,23.187,16.733,14.239,16.476,21.593,30.662,16.642,22.639,EVOLVING,2000.0,212,74,286,286
2,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,19.544,17.757,23.187,18.626,15.875,16.476,21.593,33.558,16.642,22.639,EVOLVING,2000.0,218,70,288,574
3,Beta_LineChain;Alpha_HashCollision;Gamma_Disconnected,22.939,17.757,23.187,18.626,19.119,17.987,21.593,33.558,16.642,22.639,EVOLVING,2000.0,218,76,294,868
4,Alpha_StarGraph;Alpha_Reversed;Beta_ModuloStep,22.939,19.206,23.187,20.589,19.119,17.987,24.652,33.558,16.642,22.639,EVOLVING,2000.0,218,73,291,1159
5,Alpha_Reversed;Beta_ModuloStep;Beta_LineChain,22.939,23.168,23.187,20.589,22.934,17.987,26.555,33.558,16.642,22.639,EVOLVING,2000.0,208,78,286,1445
6,Alpha_StarGraph;Beta_LineChain;Gamma_Sawtooth,22.939,23.168,23.187,22.9,24.283,17.987,26.555,33.558,18.979,22.639,EVOLVING,2000.0,223,80,303,1748
7,Gamma_LoadFactor;Delta_Extremist;Beta_LineChain,22.939,23.168,26.368,22.9,26.221,17.987,26.555,33.558,18.979,25.868,EVOLVING,2000.0,219,74,293,2041
8,Alpha_HashCollision;Gamma_LoadFactor;Beta_ModuloStep,25.131,27.048,31.337,22.9,26.221,17.987,26.555,33.558,18.979,25.868,EVOLVING,2000.0,219,79,298,2339
9,Alpha_Reversed;Beta_ModuloStep;Beta_LineChain,25.131,31.819,31.337,22.9,28.885,17.987,30.407,33.558,18.979,25.868,EVOLVING,2000.0,208,67,275,2614
10,Gamma_Sawtooth;Alpha_StarGraph;Beta_LineChain,25.131,31.819,31.337,24.874,33.691,17.987,30.407,33.558,21.635,25.868,EVOLVING,2000.0,219,76,295,2909
11,Delta_Extremist;Alpha_HashCollision;Gamma_Sawtooth,30.109,31.819,31.337,24.874,33.691,17.987,30.407,33.558,24.604,29.458,EVOLVING,2000.0,215,74,289,3198
12,Beta_ModuloStep;Alpha_Reversed;Gamma_Disconnected,30.109,37.093,31.337,24.874,33.691,21.295,36.308,33.558,24.604,29.458,EVOLVING,2000.0,214,74,288,3486
13,Gamma_Disconnected;Beta_ModuloStep;Beta_LineChain,30.109,40.549,31.337,24.874,37.826,25.444,36.308,33.558,24.604,29.458,EVOLVING,2000.0,216,78,294,3780
14,Delta_Extremist;Alpha_HashCollision;Gamma_Disconnected,35.782,40.549,31.337,24.874,37.826,27.792,36.308,33.558,24.604,35.33,EVOLVING,2000.0,213,75,288,4068
15,Beta_LineChain;Gamma_LoadFactor;Delta_Extremist,35.782,40.549,36.182,24.874,42.516,27.792,36.308,33.558,24.604,38.882,EVOLVING,2000.0,210,77,287,4355
16,Beta_AllEqual;Gamma_Disconnected;Alpha_StarGraph,35.782,40.549,36.182,27.869,42.516,32.135,36.308,36.704,24.604,38.882,EVOLVING,2000.0,213,79,292,4647
17,Beta_AllEqual;Beta_ModuloStep;Beta_LineChain,35.782,44.823,36.182,27.869,47.149,32.135,36.308,42.976,24.604,38.882,EVOLVING,2000.0,217,77,294,4941
