Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_StarGraph;Delta_Extremist;Beta_AllEqual,15.276,11.384,22.48,20.166,16.718,10.327,9.018,29.482,24.785,16.392,EVOLVING,2000.0,216,71,287,287
2,Beta_ModuloStep;Gamma_Sawtooth;Delta_Extremist,15.276,13.609,22.48,20.166,16.718,10.327,9.018,29.482,28.61,18.861,EVOLVING,2000.0,221,74,295,582
3,Alpha_Reversed;Gamma_Sawtooth;Beta_ModuloStep,15.276,17.111,22.48,20.166,16.718,10.327,10.381,29.482,33.496,18.861,EVOLVING,2000.0,218,77,295,877
4,Beta_ModuloStep;Alpha_HashCollision;Beta_AllEqual,17.408,20.488,22.48,20.166,16.718,10.327,10.381,33.527,33.496,18.861,EVOLVING,2000.0,217,75,292,1169
5,Delta_Extremist;Gamma_Sawtooth;Alpha_Reversed,17.408,20.488,22.48,20.166,16.718,10.327,12.538,33.527,36.028,21.957,EVOLVING,2000.0,211,72,283,1452
6,Alpha_HashCollision;Alpha_Reversed;Gamma_Sawtooth,20.139,20.488,22.48,20.166,16.718,10.327,14.308,33.527,38.094,21.957,EVOLVING,2000.0,211,78,289,1741
7,Gamma_Disconnected;Alpha_StarGraph;Alpha_HashCollision,22.32,20.488,22.48,21.903,16.718,13.077,14.308,33.527,38.094,21.957,EVOLVING,2000.0,218,76,294,2035
8,Gamma_LoadFactor;Gamma_Sawtooth;Beta_LineChain,22.32,20.488,24.73,21.903,17.828,13.077,14.308,33.527,44.969,21.957,EVOLVING,2000.0,210,71,281,2316
9,Beta_ModuloStep;Gamma_LoadFactor;Beta_LineChain,22.32,23.252,28.219,21.903,20.645,13.077,14.308,33.527,44.969,21.957,EVOLVING,2000.0,213,74,287,2603
10,Beta_AllEqual;Gamma_Disconnected;Alpha_Reversed,22.32,23.252,28.219,21.903,20.645,14.478,16.858,38.05,44.969,21.957,EVOLVING,2000.0,214,74,288,2891
11,Beta_ModuloStep;Gamma_Sawtooth;Delta_Extremist,22.32,27.013,28.219,21.903,20.645,14.478,16.858,38.05,52.557,25.627,EVOLVING,2000.0,212,72,284,3175
12,Alpha_HashCollision;Gamma_LoadFactor;Beta_LineChain,24.497,27.013,32.693,21.903,23.806,14.478,16.858,38.05,52.557,25.627,EVOLVING,2000.0,212,75,287,3462
13,Beta_AllEqual;Gamma_Disconnected;Gamma_LoadFactor,24.497,27.013,37.064,21.903,23.806,16.805,16.858,42.196,52.557,25.627,EVOLVING,2000.0,217,79,296,3758
14,Gamma_LoadFactor;Beta_LineChain;Beta_ModuloStep,24.497,30.395,42.463,21.903,27.618,16.805,16.858,42.196,52.557,25.627,EVOLVING,2000.0,217,68,285,4043
15,Delta_Extremist;Gamma_Disconnected;Gamma_Sawtooth,24.497,30.395,42.463,21.903,27.618,19.485,16.858,42.196,61.089,29.743,EVOLVING,2000.0,215,74,289,4332
16,Gamma_Sawtooth;Beta_AllEqual;Alpha_Reversed,24.497,30.395,42.463,21.903,27.618,19.485,18.899,49.433,70.959,29.743,EVOLVING,2000.0,212,79,291,4623
17,Alpha_Reversed;Delta_Extremist;Beta_LineChain,24.497,30.395,42.463,21.903,29.313,19.485,23.15,49.433,70.959,34.906,EVOLVING,2000.0,219,80,299,4922
18,Beta_ModuloStep;Alpha_Reversed;Alpha_HashCollision,28.686,34.412,42.463,21.903,29.313,19.485,26.789,49.433,70.959,34.906,EVOLVING,2000.0,211,81,292,5214
19,Alpha_Reversed;Gamma_Disconnected;Beta_AllEqual,28.686,34.412,42.463,21.903,29.313,21.263,28.925,53.59,70.959,34.906,EVOLVING,2000.0,227,71,298,5512
20,Gamma_Disconnected;Gamma_Sawtooth;Delta_Extremist,28.686,34.412,42.463,21.903,29.313,23.86,28.925,53.59,80.626,39.043,EVOLVING,2000.0,211,72,283,5795
21,Alpha_HashCollision;Delta_Extremist;Gamma_LoadFactor,35.761,34.412,51.386,21.903,29.313,23.86,28.925,53.59,80.626,45.801,EVOLVING,2000.0,224,73,297,6092
22,Alpha_HashCollision;Gamma_LoadFactor;Alpha_Reversed,43.64,34.412,63.569,21.903,29.313,23.86,37.708,53.59,80.626,45.801,EVOLVING,2000.0,210,76,286,6378
23,Gamma_Disconnected;Alpha_StarGraph;Alpha_HashCollision,54.065,34.412,63.569,26.595,29.313,31.295,37.708,53.59,80.626,45.801,EVOLVING,2000.0,221,82,303,6681
24,Gamma_LoadFactor;Gamma_Sawtooth;Beta_LineChain,54.065,34.412,80.411,26.595,34.489,31.295,37.708,53.59,93.474,45.801,EVOLVING,2000.0,214,75,289,6970
25,Gamma_LoadFactor;Alpha_HashCollision;Delta_Extremist,63.793,34.412,100.22,26.595,34.489,31.295,37.708,53.59,93.474,58.895,EVOLVING,2000.0,225,70,295,7265
26,Gamma_LoadFactor;Gamma_Disconnected;Beta_AllEqual,63.793,34.412,117.053,26.595,34.489,38.49,37.708,67.959,93.474,58.895,EVOLVING,2000.0,212,72,284,7549
27,Gamma_Disconnected;Beta_ModuloStep;Alpha_HashCollision,73.679,41.517,117.053,26.595,34.489,44.123,37.708,67.959,93.474,58.895,EVOLVING,2000.0,208,77,285,7834
28,Beta_ModuloStep;Gamma_Sawtooth;Beta_AllEqual,73.679,48.951,117.053,26.595,34.489,44.123,37.708,87.565,115.619,58.895,EVOLVING,2000.0,220,77,297,8131
29,Alpha_StarGraph;Gamma_LoadFactor;Gamma_Sawtooth,73.679,48.951,144.29,34.111,34.489,44.123,37.708,87.565,147.363,58.895,EVOLVING,2000.0,219,69,288,8419
30,Delta_Extremist;Alpha_Reversed;Beta_ModuloStep,73.679,58.147,144.29,34.111,34.489,44.123,44.584,87.565,147.363,2313.87,TLE_ACHIEVED,2000.0,220,77,297,8716
