Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_Reversed;Beta_LineChain;Beta_ModuloStep,24.268,54.011,14.293,22.732,50.102,19.575,46.18,9.031,15.696,8.66,EVOLVING,2000.0,215,71,286,286
2,Beta_AllEqual;Beta_ModuloStep;Gamma_Disconnected,24.268,108.463,14.293,22.732,50.102,84.215,46.18,94.905,15.696,8.66,EVOLVING,2000.0,218,73,291,577
3,Beta_LineChain;Gamma_LoadFactor;Beta_ModuloStep,24.268,141.766,135.457,22.732,137.278,84.215,46.18,94.905,15.696,8.66,EVOLVING,2000.0,221,69,290,867
4,Beta_ModuloStep;Alpha_StarGraph;Gamma_Disconnected,24.268,186.486,135.457,176.764,137.278,188.627,46.18,94.905,15.696,8.66,EVOLVING,2000.0,220,72,292,1159
5,Beta_AllEqual;Alpha_StarGraph;Beta_LineChain,24.268,186.486,135.457,226.621,211.34,188.627,46.18,217.713,15.696,8.66,EVOLVING,2000.0,221,77,298,1457
6,Beta_ModuloStep;Gamma_Disconnected;Beta_AllEqual,24.268,224.152,135.457,226.621,211.34,217.6,46.18,230.758,15.696,8.66,EVOLVING,2000.0,223,75,298,1755
7,Beta_LineChain;Delta_Extremist;Alpha_HashCollision,255.972,224.152,135.457,226.621,301.627,217.6,46.18,230.758,15.696,243.151,EVOLVING,2000.0,212,75,287,2042
8,Gamma_LoadFactor;Alpha_HashCollision;Gamma_Disconnected,282.602,224.152,289.077,226.621,301.627,306.173,46.18,230.758,15.696,243.151,EVOLVING,2000.0,209,71,280,2322
9,Beta_ModuloStep;Gamma_Disconnected;Gamma_LoadFactor,282.602,358.218,347.65,226.621,301.627,310.876,46.18,230.758,15.696,243.151,EVOLVING,2000.0,222,72,294,2616
10,Gamma_Disconnected;Beta_ModuloStep;Beta_AllEqual,282.602,358.218,347.65,226.621,301.627,394.107,46.18,331.113,15.696,243.151,EVOLVING,2000.0,220,75,295,2911
11,Gamma_LoadFactor;Gamma_Disconnected;Beta_LineChain,282.602,358.218,389.384,226.621,330.055,394.107,46.18,331.113,15.696,243.151,EVOLVING,2000.0,211,75,286,3197
12,Alpha_StarGraph;Gamma_LoadFactor;Delta_Extremist,282.602,358.218,389.384,358.345,330.055,394.107,46.18,331.113,15.696,377.114,EVOLVING,2000.0,214,69,283,3480
13,Beta_AllEqual;Beta_ModuloStep;Alpha_StarGraph,282.602,447.58,389.384,372.828,330.055,394.107,46.18,408.52,15.696,377.114,EVOLVING,2000.0,215,73,288,3768
14,Beta_AllEqual;Alpha_HashCollision;Alpha_Reversed,381.098,447.58,389.384,372.828,330.055,394.107,457.106,459.086,15.696,377.114,EVOLVING,2000.0,213,71,284,4052
