Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Delta_Extremist;Alpha_Reversed;Gamma_LoadFactor,14.28,16.191,56.512,20.906,16.842,18.469,62.124,15.091,15.049,52.851,EVOLVING,2000.0,224,73,297,297
2,Delta_Extremist;Alpha_HashCollision;Beta_AllEqual,103.884,16.191,56.512,20.906,16.842,18.469,62.124,96.391,15.049,119.305,EVOLVING,2000.0,215,79,294,591
3,Delta_Extremist;Alpha_HashCollision;Gamma_LoadFactor,164.472,16.191,156.647,20.906,16.842,18.469,62.124,96.391,15.049,175.662,EVOLVING,2000.0,223,76,299,890
4,Gamma_LoadFactor;Beta_ModuloStep;Gamma_Sawtooth,164.472,192.558,211.221,20.906,16.842,18.469,62.124,96.391,211.708,175.662,EVOLVING,2000.0,217,73,290,1180
5,Beta_LineChain;Alpha_HashCollision;Gamma_Sawtooth,217.387,192.558,211.221,20.906,268.628,18.469,62.124,96.391,246.368,175.662,EVOLVING,2000.0,221,76,297,1477
6,Beta_AllEqual;Gamma_LoadFactor;Alpha_Reversed,217.387,192.558,252.53,20.906,268.628,18.469,290.532,293.509,246.368,175.662,EVOLVING,2000.0,218,78,296,1773
7,Gamma_Disconnected;Alpha_Reversed;Alpha_StarGraph,217.387,192.558,252.53,311.955,268.628,333.2,290.532,293.509,246.368,175.662,EVOLVING,2000.0,217,75,292,2065
8,Beta_LineChain;Gamma_Disconnected;Alpha_StarGraph,217.387,192.558,252.53,332.049,357.218,356.006,290.532,293.509,246.368,175.662,EVOLVING,2000.0,217,75,292,2357
9,Gamma_LoadFactor;Gamma_Disconnected;Beta_AllEqual,217.387,192.558,350.418,332.049,357.218,356.006,290.532,363.386,246.368,175.662,EVOLVING,2000.0,220,77,297,2654
10,Beta_AllEqual;Gamma_LoadFactor;Alpha_StarGraph,217.387,192.558,436.502,379.051,357.218,356.006,290.532,406.229,246.368,175.662,EVOLVING,2000.0,217,78,295,2949
11,Alpha_HashCollision;Gamma_Disconnected;Beta_LineChain,408.405,192.558,436.502,379.051,430.424,376.203,290.532,406.229,246.368,175.662,EVOLVING,2000.0,219,79,298,3247
12,Gamma_Sawtooth;Beta_LineChain;Gamma_LoadFactor,408.405,192.558,479.031,379.051,440.966,376.203,290.532,406.229,405.174,175.662,EVOLVING,2000.0,213,77,290,3537
13,Beta_LineChain;Alpha_HashCollision;Beta_ModuloStep,468.149,425.223,479.031,379.051,502.367,376.203,290.532,406.229,405.174,175.662,EVOLVING,2000.0,219,76,295,3832
14,Alpha_HashCollision;Gamma_LoadFactor;Gamma_Disconnected,500.494,425.223,479.031,379.051,502.367,484.21,290.532,406.229,405.174,175.662,EVOLVING,2000.0,213,75,288,4120
15,Beta_ModuloStep;Alpha_StarGraph;Gamma_LoadFactor,500.494,450.545,479.031,517.431,502.367,484.21,290.532,406.229,405.174,175.662,EVOLVING,2000.0,214,70,284,4404
16,Gamma_Sawtooth;Alpha_HashCollision;Beta_ModuloStep,518.651,476.731,479.031,517.431,502.367,484.21,290.532,406.229,510.576,175.662,EVOLVING,2000.0,211,78,289,4693
17,Alpha_HashCollision;Gamma_Disconnected;Alpha_StarGraph,518.651,476.731,479.031,517.431,502.367,484.21,290.532,406.229,510.576,175.662,EVOLVING,2000.0,218,70,288,4981
18,Gamma_Sawtooth;Gamma_Disconnected;Beta_LineChain,518.651,476.731,479.031,517.431,517.647,565.748,290.532,406.229,515.809,175.662,EVOLVING,2000.0,209,79,288,5269
19,Gamma_Sawtooth;Gamma_LoadFactor;Alpha_Reversed,518.651,476.731,578.617,517.431,517.647,565.748,514.392,406.229,518.59,175.662,EVOLVING,2000.0,216,76,292,5561
20,Alpha_HashCollision;Gamma_Sawtooth;Alpha_Reversed,605.912,476.731,578.617,517.431,517.647,565.748,582.06,406.229,578.083,175.662,EVOLVING,2000.0,215,78,293,5854
21,Alpha_HashCollision;Beta_ModuloStep;Beta_LineChain,605.912,528.08,578.617,517.431,597.031,565.748,582.06,406.229,578.083,175.662,EVOLVING,2000.0,215,69,284,6138
22,Alpha_StarGraph;Alpha_Reversed;Gamma_Disconnected,605.912,528.08,578.617,574.947,597.031,653.877,582.06,406.229,578.083,175.662,EVOLVING,2000.0,211,73,284,6422
23,Alpha_Reversed;Beta_AllEqual;Alpha_HashCollision,605.912,528.08,578.617,574.947,597.031,653.877,582.06,613.673,578.083,175.662,EVOLVING,2000.0,224,78,302,6724
24,Delta_Extremist;Beta_ModuloStep;Gamma_Sawtooth,605.912,551.214,578.617,574.947,597.031,653.877,582.06,613.673,589.795,565.398,EVOLVING,2000.0,217,73,290,7014
25,Delta_Extremist;Alpha_Reversed;Beta_LineChain,605.912,551.214,578.617,574.947,675.176,653.877,587.178,613.673,589.795,627.732,EVOLVING,2000.0,216,75,291,7305
26,Gamma_LoadFactor;Alpha_HashCollision;Beta_LineChain,653.822,551.214,581.73,574.947,675.176,653.877,587.178,613.673,589.795,627.732,EVOLVING,2000.0,210,72,282,7587
27,Gamma_LoadFactor;Alpha_StarGraph;Beta_AllEqual,653.822,551.214,697.091,610.763,675.176,653.877,587.178,629.888,589.795,627.732,EVOLVING,2000.0,221,73,294,7881
28,Delta_Extremist;Beta_LineChain;Alpha_Reversed,653.822,551.214,697.091,610.763,685.58,653.877,587.178,629.888,589.795,627.732,EVOLVING,2000.0,211,73,284,8165
29,Alpha_HashCollision;Gamma_LoadFactor;Alpha_StarGraph,653.822,551.214,697.091,610.763,685.58,653.877,587.178,629.888,589.795,627.732,EVOLVING,2000.0,213,77,290,8455
30,Gamma_Disconnected;Beta_LineChain;Alpha_Reversed,653.822,551.214,697.091,610.763,685.58,655.59,658.309,629.888,589.795,627.732,EVOLVING,2000.0,214,71,285,8740
31,Gamma_LoadFactor;Beta_AllEqual;Beta_LineChain,653.822,551.214,697.384,610.763,685.58,655.59,658.309,629.888,589.795,627.732,EVOLVING,2000.0,225,74,299,9039
32,Alpha_Reversed;Alpha_StarGraph;Gamma_Sawtooth,653.822,551.214,697.384,706.043,685.58,655.59,658.309,629.888,737.602,627.732,EVOLVING,2000.0,217,75,292,9331
33,Gamma_LoadFactor;Delta_Extremist;Alpha_Reversed,653.822,551.214,697.384,706.043,685.58,655.59,696.918,629.888,737.602,627.732,EVOLVING,2000.0,216,80,296,9627
34,Alpha_StarGraph;Beta_ModuloStep;Delta_Extremist,653.822,653.903,697.384,727.563,685.58,655.59,696.918,629.888,737.602,729.336,EVOLVING,2000.0,219,81,300,9927
35,Beta_LineChain;Alpha_Reversed;Gamma_LoadFactor,653.822,653.903,699.023,727.563,703.021,655.59,696.918,629.888,737.602,729.336,EVOLVING,2000.0,212,80,292,10219
36,Gamma_LoadFactor;Gamma_Disconnected;Alpha_HashCollision,745.399,653.903,699.023,727.563,703.021,724.692,696.918,629.888,737.602,729.336,EVOLVING,2000.0,225,83,308,10527
37,Alpha_StarGraph;Gamma_Disconnected;Gamma_LoadFactor,745.399,653.903,699.023,727.563,703.021,724.692,696.918,629.888,737.602,729.336,EVOLVING,2000.0,215,72,287,10814
38,Gamma_Disconnected;Gamma_Sawtooth;Alpha_HashCollision,745.399,653.903,699.023,727.563,703.021,724.692,696.918,629.888,737.602,729.336,EVOLVING,2000.0,206,77,283,11097
