Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_Disconnected;Beta_LineChain;Gamma_LoadFactor,15.178,15.638,33.881,13.848,31.987,32.243,25.215,10.923,8.016,12.964,EVOLVING,2000,77,35,35,35
2,Delta_Extremist;Gamma_Disconnected;Gamma_Sawtooth,15.178,15.638,33.881,13.848,31.987,68.881,25.215,10.923,62.741,62.163,EVOLVING,2000,76,40,40,75
3,Gamma_Sawtooth;Beta_AllEqual;Beta_LineChain,15.178,15.638,33.881,13.848,81.062,68.881,25.215,78.597,89.653,62.163,EVOLVING,2000,72,34,34,109
4,Alpha_StarGraph;Beta_LineChain;Beta_ModuloStep,15.178,115.363,33.881,102.732,105.523,68.881,25.215,78.597,89.653,62.163,EVOLVING,2000,76,34,34,143
5,Alpha_HashCollision;Delta_Extremist;Alpha_StarGraph,135.99,115.363,33.881,121.222,105.523,68.881,25.215,78.597,89.653,128.029,EVOLVING,2000,67,38,38,181
6,Beta_LineChain;Beta_ModuloStep;Gamma_Disconnected,135.99,158.898,33.881,121.222,141.966,148.935,25.215,78.597,89.653,128.029,EVOLVING,2000,66,33,33,214
7,Alpha_Reversed;Gamma_Disconnected;Gamma_LoadFactor,135.99,158.898,187.877,121.222,141.966,196.583,169.887,78.597,89.653,128.029,EVOLVING,2000,71,36,36,250
8,Alpha_Reversed;Delta_Extremist;Gamma_Disconnected,135.99,158.898,187.877,121.222,141.966,196.583,215.643,78.597,89.653,172.33,EVOLVING,2000,73,33,33,283
9,Beta_AllEqual;Alpha_StarGraph;Beta_LineChain,135.99,158.898,187.877,205.167,222.028,196.583,215.643,213.288,89.653,172.33,EVOLVING,2000,75,34,34,317
10,Alpha_StarGraph;Gamma_Sawtooth;Alpha_Reversed,135.99,158.898,187.877,248.786,222.028,196.583,215.643,213.288,240.572,172.33,EVOLVING,2000,72,35,35,352
11,Alpha_HashCollision;Beta_ModuloStep;Gamma_Sawtooth,239.94,259.056,187.877,248.786,222.028,196.583,215.643,213.288,240.572,172.33,EVOLVING,2000,66,40,40,392
12,Beta_LineChain;Gamma_Disconnected;Alpha_Reversed,239.94,259.056,187.877,248.786,263.147,227.103,227.801,213.288,240.572,172.33,EVOLVING,2000,74,35,35,427
13,Alpha_StarGraph;Beta_LineChain;Gamma_Disconnected,239.94,259.056,187.877,252.728,269.342,247.929,227.801,213.288,240.572,172.33,EVOLVING,2000,73,40,40,467
14,Beta_ModuloStep;Beta_LineChain;Alpha_Reversed,239.94,259.056,187.877,252.728,269.342,247.929,287.463,213.288,240.572,172.33,EVOLVING,2000,76,32,32,499
15,Gamma_Sawtooth;Beta_AllEqual;Beta_ModuloStep,239.94,315.482,187.877,252.728,269.342,247.929,287.463,295.11,261.472,172.33,EVOLVING,2000,77,38,38,537
16,Alpha_Reversed;Alpha_StarGraph;Alpha_HashCollision,285.968,315.482,187.877,286.617,269.342,247.929,306.222,295.11,261.472,172.33,EVOLVING,2000,76,34,34,571
17,Gamma_Sawtooth;Beta_AllEqual;Gamma_Disconnected,285.968,315.482,187.877,286.617,269.342,284.044,306.222,315.035,273.483,172.33,EVOLVING,2000,73,38,38,609
18,Alpha_HashCollision;Gamma_Sawtooth;Gamma_LoadFactor,313.903,315.482,282.191,286.617,269.342,284.044,306.222,315.035,317.203,172.33,EVOLVING,2000,74,36,36,645
19,Beta_AllEqual;Alpha_HashCollision;Alpha_StarGraph,313.903,315.482,282.191,287.924,269.342,284.044,306.222,315.035,317.203,172.33,EVOLVING,2000,68,37,37,682
20,Alpha_HashCollision;Gamma_Sawtooth;Alpha_StarGraph,313.903,315.482,282.191,292.473,269.342,284.044,306.222,315.035,317.203,172.33,EVOLVING,2000,71,34,34,716
21,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,313.903,315.482,282.191,295.356,304.801,284.044,306.222,337.089,317.203,172.33,EVOLVING,2000,76,32,32,748
22,Alpha_HashCollision;Gamma_LoadFactor;Alpha_Reversed,368.999,315.482,348.336,295.356,304.801,284.044,346.75,337.089,317.203,172.33,EVOLVING,2000,71,37,37,785
23,Gamma_LoadFactor;Alpha_Reversed;Beta_ModuloStep,368.999,330.319,348.336,295.356,304.801,284.044,346.75,337.089,317.203,172.33,EVOLVING,2000,77,33,33,818
24,Beta_AllEqual;Alpha_HashCollision;Gamma_Disconnected,368.999,330.319,348.336,295.356,304.801,332.239,346.75,382.466,317.203,172.33,EVOLVING,2000,71,37,37,855
25,Beta_AllEqual;Alpha_HashCollision;Gamma_LoadFactor,368.999,330.319,348.336,295.356,304.801,332.239,346.75,382.466,317.203,172.33,EVOLVING,2000,75,39,39,894
26,Alpha_Reversed;Alpha_HashCollision;Beta_LineChain,368.999,330.319,348.336,295.356,373.783,332.239,346.75,382.466,317.203,172.33,EVOLVING,2000,80,39,39,933
27,Gamma_Sawtooth;Beta_ModuloStep;Alpha_HashCollision,368.999,364.845,348.336,295.356,373.783,332.239,346.75,382.466,317.203,172.33,EVOLVING,2000,70,36,36,969
28,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,368.999,364.845,348.336,399.061,373.783,332.239,346.75,382.466,317.203,172.33,EVOLVING,2000,71,33,33,1002
29,Gamma_LoadFactor;Alpha_Reversed;Delta_Extremist,368.999,364.845,356.728,399.061,373.783,332.239,346.75,382.466,317.203,383.555,EVOLVING,2000,74,39,39,1041
30,Beta_AllEqual;Alpha_HashCollision;Alpha_Reversed,368.999,364.845,356.728,399.061,373.783,332.239,402.497,382.466,317.203,383.555,EVOLVING,2000,70,32,32,1073
31,Beta_ModuloStep;Gamma_Disconnected;Alpha_HashCollision,409.676,384.817,356.728,399.061,373.783,358.718,402.497,382.466,317.203,383.555,EVOLVING,2000,71,33,33,1106
32,Delta_Extremist;Gamma_LoadFactor;Alpha_HashCollision,409.676,384.817,356.728,399.061,373.783,358.718,402.497,382.466,317.203,383.555,EVOLVING,2000,71,38,38,1144
33,Beta_AllEqual;Alpha_HashCollision;Beta_ModuloStep,409.676,384.817,356.728,399.061,373.783,358.718,402.497,405.717,317.203,383.555,EVOLVING,2000,68,39,39,1183
34,Gamma_LoadFactor;Alpha_HashCollision;Delta_Extremist,409.676,384.817,411.91,399.061,373.783,358.718,402.497,405.717,317.203,383.555,EVOLVING,2000,74,34,34,1217
35,Gamma_Sawtooth;Gamma_Disconnected;Gamma_LoadFactor,409.676,384.817,411.91,399.061,373.783,358.718,402.497,405.717,369.781,383.555,EVOLVING,2000,71,35,35,1252
36,Beta_AllEqual;Delta_Extremist;Beta_LineChain,409.676,384.817,411.91,399.061,403.06,358.718,402.497,405.717,369.781,383.555,EVOLVING,2000,65,35,35,1287
37,Alpha_StarGraph;Beta_AllEqual;Gamma_Sawtooth,409.676,384.817,411.91,399.061,403.06,358.718,402.497,417.659,403.851,383.555,EVOLVING,2000,69,39,39,1326
38,Alpha_StarGraph;Alpha_HashCollision;Beta_ModuloStep,416.023,384.817,411.91,419.573,403.06,358.718,402.497,417.659,403.851,383.555,EVOLVING,2000,80,38,38,1364
39,Alpha_HashCollision;Beta_LineChain;Beta_AllEqual,416.023,384.817,411.91,419.573,403.06,358.718,402.497,417.659,403.851,383.555,EVOLVING,2000,65,32,32,1396
40,Beta_ModuloStep;Beta_AllEqual;Beta_LineChain,416.023,410.213,411.91,419.573,403.06,358.718,402.497,417.659,403.851,383.555,EVOLVING,2000,77,38,38,1434
41,Alpha_StarGraph;Delta_Extremist;Alpha_Reversed,416.023,410.213,411.91,423.82,403.06,358.718,402.881,417.659,403.851,422.065,EVOLVING,2000,72,35,35,1469
42,Gamma_Disconnected;Gamma_LoadFactor;Delta_Extremist,416.023,410.213,411.91,423.82,403.06,401.33,402.881,417.659,403.851,422.065,EVOLVING,2000,68,34,34,1503
