Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_Disconnected;Alpha_HashCollision;Beta_ModuloStep,52.831,51.705,11.535,23.307,21.73,50.703,24.297,22.967,16.851,23.425,EVOLVING,2000.0,212,77,289,289
2,Gamma_Disconnected;Beta_AllEqual;Delta_Extremist,52.831,51.705,11.535,23.307,21.73,104.39,24.297,86.184,16.851,98.985,EVOLVING,2000.0,221,73,294,583
3,Alpha_Reversed;Alpha_StarGraph;Delta_Extremist,52.831,51.705,11.535,131.144,21.73,104.39,153.921,86.184,16.851,149.687,EVOLVING,2000.0,215,78,293,876
4,Gamma_Sawtooth;Beta_AllEqual;Alpha_HashCollision,191.005,51.705,11.535,131.144,21.73,104.39,153.921,157.904,197.599,149.687,EVOLVING,2000.0,211,72,283,1159
5,Beta_ModuloStep;Gamma_Sawtooth;Beta_AllEqual,191.005,234.09,11.535,131.144,21.73,104.39,153.921,218.27,213.21,149.687,EVOLVING,2000.0,216,74,290,1449
6,Alpha_StarGraph;Beta_ModuloStep;Gamma_Sawtooth,191.005,245.975,11.535,220.398,21.73,104.39,153.921,218.27,246.585,149.687,EVOLVING,2000.0,216,79,295,1744
7,Gamma_Disconnected;Beta_ModuloStep;Delta_Extremist,191.005,305.527,11.535,220.398,21.73,299.252,153.921,218.27,246.585,283.968,EVOLVING,2000.0,217,70,287,2031
8,Beta_LineChain;Alpha_StarGraph;Gamma_Sawtooth,191.005,305.527,11.535,315.948,294.866,299.252,153.921,218.27,329.439,283.968,EVOLVING,2000.0,217,72,289,2320
9,Alpha_HashCollision;Alpha_StarGraph;Gamma_LoadFactor,316.648,305.527,334.799,315.948,294.866,299.252,153.921,218.27,329.439,283.968,EVOLVING,2000.0,211,74,285,2605
10,Gamma_Disconnected;Alpha_Reversed;Alpha_StarGraph,316.648,305.527,334.799,367.146,294.866,312.94,357.609,218.27,329.439,283.968,EVOLVING,2000.0,219,72,291,2896
11,Beta_AllEqual;Beta_LineChain;Beta_ModuloStep,316.648,338.658,334.799,367.146,343.082,312.94,357.609,358.03,329.439,283.968,EVOLVING,2000.0,221,77,298,3194
12,Beta_AllEqual;Alpha_StarGraph;Alpha_Reversed,316.648,338.658,334.799,367.146,343.082,312.94,427.107,424.367,329.439,283.968,EVOLVING,2000.0,209,76,285,3479
13,Alpha_StarGraph;Gamma_Disconnected;Alpha_Reversed,316.648,338.658,334.799,390.649,343.082,381.129,454.44,424.367,329.439,283.968,EVOLVING,2000.0,214,82,296,3775
14,Alpha_StarGraph;Alpha_HashCollision;Gamma_Sawtooth,471.637,338.658,334.799,470.163,343.082,381.129,454.44,424.367,396.9,283.968,EVOLVING,2000.0,217,75,292,4067
15,Gamma_LoadFactor;Gamma_Disconnected;Beta_ModuloStep,471.637,392.173,451.892,470.163,343.082,483.307,454.44,424.367,396.9,283.968,EVOLVING,2000.0,218,73,291,4358
16,Beta_LineChain;Delta_Extremist;Alpha_Reversed,471.637,392.173,451.892,470.163,456.555,483.307,504.1,424.367,396.9,473.834,EVOLVING,2000.0,221,70,291,4649
17,Beta_LineChain;Alpha_StarGraph;Gamma_Sawtooth,471.637,392.173,451.892,510.193,463.678,483.307,504.1,424.367,514.651,473.834,EVOLVING,2000.0,220,74,294,4943
18,Alpha_HashCollision;Gamma_Sawtooth;Gamma_Disconnected,476.257,392.173,451.892,510.193,463.678,483.307,504.1,424.367,514.651,473.834,EVOLVING,2000.0,224,73,297,5240
19,Gamma_LoadFactor;Gamma_Sawtooth;Beta_AllEqual,476.257,392.173,474.33,510.193,463.678,483.307,504.1,516.395,514.651,473.834,EVOLVING,2000.0,213,69,282,5522
