Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_LineChain;Alpha_StarGraph;Gamma_Disconnected,15.409,10.693,10.019,35.595,34.358,35.565,11.055,8.615,22.085,23.933,EVOLVING,2000.0,210,76,286,286
2,Beta_AllEqual;Gamma_Sawtooth;Delta_Extremist,15.409,10.693,10.019,35.595,34.358,35.565,11.055,64.815,66.287,70.368,EVOLVING,2000.0,220,72,292,578
3,Beta_ModuloStep;Gamma_LoadFactor;Alpha_HashCollision,80.299,102.885,89.6,35.595,34.358,35.565,11.055,64.815,66.287,70.368,EVOLVING,2000.0,217,72,289,867
4,Beta_ModuloStep;Gamma_LoadFactor;Delta_Extremist,80.299,122.798,128.32,35.595,34.358,35.565,11.055,64.815,66.287,119.264,EVOLVING,2000.0,215,81,296,1163
5,Alpha_HashCollision;Alpha_StarGraph;Delta_Extremist,130.751,122.798,128.32,144.969,34.358,35.565,11.055,64.815,66.287,129.701,EVOLVING,2000.0,221,74,295,1458
6,Delta_Extremist;Alpha_HashCollision;Alpha_Reversed,167.155,122.798,128.32,144.969,34.358,35.565,178.066,64.815,66.287,143.532,EVOLVING,2000.0,223,74,297,1755
7,Beta_ModuloStep;Gamma_Sawtooth;Alpha_HashCollision,197.448,166.178,128.32,144.969,34.358,35.565,178.066,64.815,181.187,143.532,EVOLVING,2000.0,219,76,295,2050
8,Beta_LineChain;Alpha_StarGraph;Beta_AllEqual,197.448,166.178,128.32,189.416,224.433,35.565,178.066,177.189,181.187,143.532,EVOLVING,2000.0,224,70,294,2344
9,Gamma_Disconnected;Beta_ModuloStep;Alpha_Reversed,197.448,227.72,128.32,189.416,224.433,196.745,198.595,177.189,181.187,143.532,EVOLVING,2000.0,216,76,292,2636
10,Gamma_Disconnected;Beta_ModuloStep;Beta_AllEqual,197.448,253.765,128.32,189.416,224.433,260.316,198.595,231.406,181.187,143.532,EVOLVING,2000.0,206,70,276,2912
11,Gamma_LoadFactor;Alpha_HashCollision;Beta_AllEqual,267.141,253.765,223.039,189.416,224.433,260.316,198.595,267.481,181.187,143.532,EVOLVING,2000.0,218,79,297,3209
12,Delta_Extremist;Gamma_Disconnected;Beta_ModuloStep,267.141,269.734,223.039,189.416,224.433,290.338,198.595,267.481,181.187,228.379,EVOLVING,2000.0,221,77,298,3507
13,Gamma_Sawtooth;Gamma_Disconnected;Beta_ModuloStep,267.141,269.734,223.039,189.416,224.433,303.113,198.595,267.481,263.583,228.379,EVOLVING,2000.0,219,78,297,3804
14,Gamma_Disconnected;Alpha_HashCollision;Gamma_Sawtooth,287.882,269.734,223.039,189.416,224.433,303.113,198.595,267.481,291.489,228.379,EVOLVING,2000.0,217,73,290,4094
15,Alpha_HashCollision;Beta_LineChain;Delta_Extremist,287.882,269.734,223.039,189.416,311.132,303.113,198.595,267.481,291.489,302.418,EVOLVING,2000.0,213,79,292,4386
16,Alpha_StarGraph;Alpha_HashCollision;Delta_Extremist,292.923,269.734,223.039,289.173,311.132,303.113,198.595,267.481,291.489,302.418,EVOLVING,2000.0,218,72,290,4676
17,Alpha_HashCollision;Delta_Extremist;Beta_AllEqual,327.68,269.734,223.039,289.173,311.132,303.113,198.595,313.953,291.489,302.418,EVOLVING,2000.0,217,73,290,4966
18,Beta_LineChain;Gamma_LoadFactor;Alpha_StarGraph,327.68,269.734,322.183,310.536,336.956,303.113,198.595,313.953,291.489,302.418,EVOLVING,2000.0,213,80,293,5259
19,Gamma_LoadFactor;Gamma_Sawtooth;Alpha_StarGraph,327.68,269.734,322.183,317.57,336.956,303.113,198.595,313.953,292.831,302.418,EVOLVING,2000.0,219,77,296,5555
20,Gamma_Disconnected;Beta_AllEqual;Alpha_HashCollision,360.282,269.734,322.183,317.57,336.956,303.113,198.595,371.725,292.831,302.418,EVOLVING,2000.0,213,80,293,5848
21,Alpha_HashCollision;Beta_ModuloStep;Alpha_StarGraph,360.282,367.994,322.183,322.439,336.956,303.113,198.595,371.725,292.831,302.418,EVOLVING,2000.0,212,73,285,6133
22,Beta_LineChain;Delta_Extremist;Beta_ModuloStep,360.282,367.994,322.183,322.439,336.956,303.113,198.595,371.725,292.831,354.973,EVOLVING,2000.0,213,73,286,6419
23,Alpha_Reversed;Alpha_StarGraph;Delta_Extremist,360.282,367.994,322.183,369.56,336.956,303.113,332.738,371.725,292.831,354.973,EVOLVING,2000.0,211,69,280,6699
24,Gamma_Sawtooth;Delta_Extremist;Beta_AllEqual,360.282,367.994,322.183,369.56,336.956,303.113,332.738,377.014,345.426,378.44,EVOLVING,2000.0,217,81,298,6997
25,Alpha_StarGraph;Gamma_LoadFactor;Alpha_HashCollision,360.282,367.994,338.073,369.56,336.956,303.113,332.738,377.014,345.426,378.44,EVOLVING,2000.0,207,79,286,7283
26,Delta_Extremist;Gamma_LoadFactor;Beta_LineChain,360.282,367.994,363.067,369.56,385.289,303.113,332.738,377.014,345.426,378.44,EVOLVING,2000.0,221,73,294,7577
27,Alpha_HashCollision;Gamma_Disconnected;Gamma_LoadFactor,373.617,367.994,404.967,369.56,385.289,393.388,332.738,377.014,345.426,378.44,EVOLVING,2000.0,213,74,287,7864
28,Gamma_Sawtooth;Alpha_Reversed;Beta_LineChain,373.617,367.994,404.967,369.56,401.648,393.388,359.306,377.014,353.298,378.44,EVOLVING,2000.0,224,79,303,8167
29,Alpha_Reversed;Beta_ModuloStep;Beta_LineChain,373.617,400.924,404.967,369.56,401.648,393.388,359.306,377.014,353.298,378.44,EVOLVING,2000.0,211,72,283,8450
30,Gamma_LoadFactor;Delta_Extremist;Gamma_Sawtooth,373.617,400.924,404.967,369.56,401.648,393.388,359.306,377.014,394.712,407.12,EVOLVING,2000.0,217,73,290,8740
31,Alpha_Reversed;Gamma_LoadFactor;Gamma_Sawtooth,373.617,400.924,404.967,369.56,401.648,393.388,375.377,377.014,394.712,407.12,EVOLVING,2000.0,214,72,286,9026
32,Alpha_StarGraph;Delta_Extremist;Gamma_LoadFactor,373.617,400.924,404.967,389.742,401.648,393.388,375.377,377.014,394.712,407.12,EVOLVING,2000.0,218,74,292,9318
33,Beta_AllEqual;Delta_Extremist;Gamma_LoadFactor,373.617,400.924,404.967,389.742,401.648,393.388,375.377,409.872,394.712,407.12,EVOLVING,2000.0,213,78,291,9609
34,Beta_AllEqual;Gamma_LoadFactor;Alpha_Reversed,373.617,400.924,406.676,389.742,401.648,393.388,380.472,409.872,394.712,407.12,EVOLVING,2000.0,211,77,288,9897
35,Alpha_StarGraph;Alpha_Reversed;Alpha_HashCollision,373.617,400.924,406.676,428.52,401.648,393.388,380.472,409.872,394.712,407.12,EVOLVING,2000.0,211,79,290,10187
36,Delta_Extremist;Beta_LineChain;Beta_AllEqual,373.617,400.924,406.676,428.52,421.032,393.388,380.472,436.546,394.712,407.12,EVOLVING,2000.0,214,76,290,10477
37,Alpha_HashCollision;Gamma_LoadFactor;Beta_AllEqual,378.935,400.924,406.676,428.52,421.032,393.388,380.472,436.546,394.712,407.12,EVOLVING,2000.0,214,79,293,10770
38,Alpha_HashCollision;Alpha_StarGraph;Beta_AllEqual,378.935,400.924,406.676,428.52,421.032,393.388,380.472,436.546,394.712,407.12,EVOLVING,2000.0,208,76,284,11054
39,Beta_LineChain;Delta_Extremist;Gamma_Disconnected,378.935,400.924,406.676,428.52,435.999,393.388,380.472,436.546,394.712,414.295,EVOLVING,2000.0,219,76,295,11349
40,Alpha_Reversed;Delta_Extremist;Gamma_Disconnected,378.935,400.924,406.676,428.52,435.999,404.3,380.472,436.546,394.712,414.295,EVOLVING,2000.0,217,74,291,11640
41,Beta_LineChain;Alpha_StarGraph;Gamma_Disconnected,378.935,400.924,406.676,428.52,439.254,430.735,380.472,436.546,394.712,414.295,EVOLVING,2000.0,222,71,293,11933
42,Beta_AllEqual;Beta_LineChain;Beta_ModuloStep,378.935,400.924,406.676,428.52,439.254,430.735,380.472,436.546,394.712,414.295,EVOLVING,2000.0,217,72,289,12222
43,Delta_Extremist;Gamma_Sawtooth;Beta_ModuloStep,378.935,400.924,406.676,428.52,439.254,430.735,380.472,436.546,443.402,414.295,EVOLVING,2000.0,212,77,289,12511
44,Gamma_Sawtooth;Alpha_HashCollision;Beta_ModuloStep,378.935,400.924,406.676,428.52,439.254,430.735,380.472,436.546,443.402,414.295,EVOLVING,2000.0,220,75,295,12806
45,Delta_Extremist;Alpha_StarGraph;Beta_ModuloStep,378.935,400.924,406.676,428.52,439.254,430.735,380.472,436.546,443.402,415.056,EVOLVING,2000.0,216,80,296,13102
46,Gamma_LoadFactor;Beta_AllEqual;Beta_ModuloStep,378.935,417.34,443.491,428.52,439.254,430.735,380.472,436.546,443.402,415.056,EVOLVING,2000.0,224,81,305,13407
47,Alpha_HashCollision;Alpha_Reversed;Gamma_Sawtooth,378.935,417.34,443.491,428.52,439.254,430.735,383.564,436.546,443.402,415.056,EVOLVING,2000.0,219,73,292,13699
48,Alpha_Reversed;Beta_ModuloStep;Beta_AllEqual,378.935,417.34,443.491,428.52,439.254,430.735,397.349,436.546,443.402,415.056,EVOLVING,2000.0,216,75,291,13990
49,Gamma_Disconnected;Gamma_LoadFactor;Delta_Extremist,378.935,417.34,443.491,428.52,439.254,440.819,397.349,436.546,443.402,415.056,EVOLVING,2000.0,210,70,280,14270
50,Beta_ModuloStep;Delta_Extremist;Alpha_HashCollision,453.931,417.34,443.491,428.52,439.254,440.819,397.349,436.546,443.402,430.826,EVOLVING,2000.0,215,70,285,14555
