Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_LoadFactor;Alpha_Reversed;Beta_AllEqual,9.962,15.482,56.328,11.27,24.186,21.122,54.17,57.923,22.585,21.949,EVOLVING,2000,67,34,34,34
2,Gamma_Disconnected;Alpha_Reversed;Beta_LineChain,9.962,15.482,56.328,11.27,108.74,87.277,101.432,57.923,22.585,21.949,EVOLVING,2000,67,34,34,68
3,Beta_LineChain;Alpha_HashCollision;Beta_AllEqual,130.876,15.482,56.328,11.27,133.782,87.277,101.432,127.432,22.585,21.949,EVOLVING,2000,67,37,37,105
4,Beta_ModuloStep;Alpha_HashCollision;Alpha_StarGraph,202.747,175.183,56.328,163.238,133.782,87.277,101.432,127.432,22.585,21.949,EVOLVING,2000,78,33,33,138
5,Alpha_StarGraph;Alpha_HashCollision;Alpha_Reversed,229.3,175.183,56.328,207.592,133.782,87.277,213.146,127.432,22.585,21.949,EVOLVING,2000,78,40,40,178
6,Alpha_HashCollision;Gamma_LoadFactor;Gamma_Sawtooth,229.3,175.183,248.446,207.592,133.782,87.277,213.146,127.432,245.494,21.949,EVOLVING,2000,73,33,33,211
7,Beta_AllEqual;Beta_LineChain;Delta_Extremist,229.3,175.183,248.446,207.592,257.458,87.277,213.146,253.06,245.494,306.872,EVOLVING,2000,77,39,39,250
8,Beta_ModuloStep;Alpha_StarGraph;Alpha_Reversed,229.3,282.144,248.446,275.322,257.458,87.277,323.528,253.06,245.494,306.872,EVOLVING,2000,66,33,33,283
9,Gamma_Disconnected;Beta_LineChain;Alpha_StarGraph,229.3,282.144,248.446,328.907,331.378,339.42,323.528,253.06,245.494,306.872,EVOLVING,2000,77,37,37,320
10,Alpha_Reversed;Gamma_LoadFactor;Gamma_Disconnected,229.3,282.144,381.612,328.907,331.378,392.949,339.219,253.06,245.494,306.872,EVOLVING,2000,75,34,34,354
