Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Delta_Extremist;Gamma_LoadFactor;Alpha_Reversed,14.305,8.764,46.304,14.338,9.666,10.759,48.635,23.244,25.9,55.164,EVOLVING,2000,65,37,37,37
2,Beta_ModuloStep;Beta_AllEqual;Alpha_Reversed,14.305,105.893,46.304,14.338,9.666,10.759,101.556,88.513,25.9,55.164,EVOLVING,2000,76,37,37,74
3,Delta_Extremist;Alpha_HashCollision;Alpha_StarGraph,145.979,105.893,46.304,143.502,9.666,10.759,101.556,88.513,25.9,129.059,EVOLVING,2000,66,34,34,108
4,Beta_LineChain;Delta_Extremist;Alpha_StarGraph,145.979,105.893,46.304,181.367,166.772,10.759,101.556,88.513,25.9,194.8,EVOLVING,2000,80,33,33,141
5,Beta_LineChain;Beta_AllEqual;Delta_Extremist,145.979,105.893,46.304,181.367,233.662,10.759,101.556,216.804,25.9,196.725,EVOLVING,2000,73,40,40,181
6,Alpha_HashCollision;Beta_AllEqual;Gamma_Sawtooth,262.93,105.893,46.304,181.367,233.662,10.759,101.556,230.069,279.555,196.725,EVOLVING,2000,72,39,39,220
7,Alpha_HashCollision;Beta_AllEqual;Delta_Extremist,262.93,105.893,46.304,181.367,233.662,10.759,101.556,307.79,279.555,278.723,EVOLVING,2000,68,34,34,254
8,Gamma_LoadFactor;Delta_Extremist;Beta_ModuloStep,262.93,283.605,294.9,181.367,233.662,10.759,101.556,307.79,279.555,342.747,EVOLVING,2000,80,40,40,294
9,Gamma_Sawtooth;Gamma_Disconnected;Alpha_HashCollision,359.554,283.605,294.9,181.367,233.662,297.436,101.556,307.79,338.661,342.747,EVOLVING,2000,70,37,37,331
10,Alpha_StarGraph;Alpha_Reversed;Gamma_Sawtooth,359.554,283.605,294.9,350.73,233.662,297.436,325.384,307.79,369.817,342.747,EVOLVING,2000,80,34,34,365
11,Gamma_Sawtooth;Alpha_HashCollision;Delta_Extremist,359.554,283.605,294.9,350.73,233.662,297.436,325.384,307.79,423.082,379.003,EVOLVING,2000,70,38,38,403
12,Gamma_LoadFactor;Beta_AllEqual;Gamma_Sawtooth,359.554,283.605,370.834,350.73,233.662,297.436,325.384,360.821,423.082,379.003,EVOLVING,2000,78,39,39,442
13,Gamma_Disconnected;Alpha_StarGraph;Gamma_Sawtooth,359.554,283.605,370.834,469.694,233.662,422.965,325.384,360.821,423.082,379.003,EVOLVING,2000,67,35,35,477
14,Alpha_StarGraph;Beta_ModuloStep;Delta_Extremist,359.554,491.503,370.834,475.482,233.662,422.965,325.384,360.821,423.082,480.914,EVOLVING,2000,73,39,39,516
15,Gamma_LoadFactor;Delta_Extremist;Beta_LineChain,359.554,491.503,435.152,475.482,496.035,422.965,325.384,360.821,423.082,491.598,EVOLVING,2000,79,37,37,553
16,Alpha_HashCollision;Gamma_Sawtooth;Beta_ModuloStep,447.949,516.082,435.152,475.482,496.035,422.965,325.384,360.821,427.195,491.598,EVOLVING,2000,75,37,37,590
17,Alpha_HashCollision;Delta_Extremist;Beta_ModuloStep,447.949,516.082,435.152,475.482,496.035,422.965,325.384,360.821,427.195,505.607,EVOLVING,2000,73,38,38,628
18,Beta_AllEqual;Gamma_LoadFactor;Beta_ModuloStep,447.949,531.101,463.315,475.482,496.035,422.965,325.384,540.47,427.195,505.607,EVOLVING,2000,75,35,35,663
19,Beta_ModuloStep;Alpha_StarGraph;Gamma_Sawtooth,447.949,541.557,463.315,475.482,496.035,422.965,325.384,540.47,459.314,505.607,EVOLVING,2000,78,32,32,695
20,Gamma_Sawtooth;Delta_Extremist;Alpha_Reversed,447.949,541.557,463.315,475.482,496.035,422.965,505.864,540.47,568.71,505.607,EVOLVING,2000,66,34,34,729
