Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_ModuloStep;Beta_AllEqual;Gamma_LoadFactor,12.86,53.137,52.21,15.576,25.901,13.245,15.904,47.356,18.999,19.503,EVOLVING,2000.0,216,77,293,293
2,Alpha_Reversed;Beta_LineChain;Beta_ModuloStep,12.86,87.42,52.21,15.576,103.641,13.245,96.162,47.356,18.999,19.503,EVOLVING,2000.0,213,76,289,582
3,Gamma_LoadFactor;Beta_LineChain;Gamma_Sawtooth,12.86,87.42,140.361,15.576,127.767,13.245,96.162,47.356,140.826,19.503,EVOLVING,2000.0,221,79,300,882
4,Beta_LineChain;Alpha_Reversed;Beta_AllEqual,12.86,87.42,140.361,15.576,175.977,13.245,175.337,199.084,140.826,19.503,EVOLVING,2000.0,212,73,285,1167
5,Alpha_Reversed;Alpha_StarGraph;Alpha_HashCollision,213.898,87.42,140.361,205.015,175.977,13.245,228.477,199.084,140.826,19.503,EVOLVING,2000.0,211,76,287,1454
6,Alpha_Reversed;Alpha_StarGraph;Gamma_Disconnected,213.898,87.42,140.361,261.094,175.977,229.413,254.776,199.084,140.826,19.503,EVOLVING,2000.0,216,72,288,1742
7,Gamma_Disconnected;Gamma_Sawtooth;Alpha_Reversed,213.898,87.42,140.361,261.094,175.977,278.949,254.776,199.084,263.309,19.503,EVOLVING,2000.0,211,73,284,2026
8,Gamma_Disconnected;Delta_Extremist;Alpha_Reversed,213.898,87.42,140.361,261.094,175.977,307.702,331.363,199.084,263.309,282.592,EVOLVING,2000.0,214,80,294,2320
9,Gamma_LoadFactor;Alpha_Reversed;Alpha_StarGraph,213.898,87.42,326.115,365.759,175.977,307.702,331.363,199.084,263.309,282.592,EVOLVING,2000.0,212,75,287,2607
10,Alpha_HashCollision;Alpha_StarGraph;Beta_LineChain,379.769,87.42,326.115,396.898,326.651,307.702,331.363,199.084,263.309,282.592,EVOLVING,2000.0,215,74,289,2896
11,Beta_AllEqual;Alpha_HashCollision;Gamma_Disconnected,403.358,87.42,326.115,396.898,326.651,359.288,331.363,400.155,263.309,282.592,EVOLVING,2000.0,219,71,290,3186
12,Gamma_Sawtooth;Delta_Extremist;Alpha_Reversed,403.358,87.42,326.115,396.898,326.651,359.288,376.028,400.155,356.161,354.464,EVOLVING,2000.0,214,81,295,3481
13,Alpha_HashCollision;Alpha_StarGraph;Beta_AllEqual,425.919,87.42,326.115,449.79,326.651,359.288,376.028,461.117,356.161,354.464,EVOLVING,2000.0,211,80,291,3772
14,Alpha_StarGraph;Alpha_Reversed;Gamma_LoadFactor,425.919,87.42,415.218,449.79,326.651,359.288,394.338,461.117,356.161,354.464,EVOLVING,2000.0,212,72,284,4056
15,Alpha_HashCollision;Gamma_LoadFactor;Alpha_Reversed,473.876,87.42,415.218,449.79,326.651,359.288,462.502,461.117,356.161,354.464,EVOLVING,2000.0,222,75,297,4353
16,Gamma_Disconnected;Delta_Extremist;Beta_AllEqual,473.876,87.42,415.218,449.79,326.651,448.532,462.502,461.117,356.161,438.079,EVOLVING,2000.0,220,80,300,4653
17,Delta_Extremist;Gamma_LoadFactor;Beta_ModuloStep,473.876,468.041,479.648,449.79,326.651,448.532,462.502,461.117,356.161,475.773,EVOLVING,2000.0,227,75,302,4955
18,Delta_Extremist;Gamma_Disconnected;Beta_LineChain,473.876,468.041,479.648,449.79,457.008,525.14,462.502,461.117,356.161,502.052,EVOLVING,2000.0,215,76,291,5246
19,Alpha_Reversed;Beta_LineChain;Alpha_StarGraph,473.876,468.041,479.648,560.522,559.817,525.14,523.369,461.117,356.161,502.052,EVOLVING,2000.0,211,67,278,5524
20,Delta_Extremist;Gamma_LoadFactor;Alpha_StarGraph,473.876,468.041,479.648,560.522,559.817,525.14,523.369,461.117,356.161,549.806,EVOLVING,2000.0,226,78,304,5828
21,Gamma_Disconnected;Beta_AllEqual;Gamma_Sawtooth,473.876,468.041,479.648,560.522,559.817,581.375,523.369,528.564,502.925,549.806,EVOLVING,2000.0,212,79,291,6119
22,Alpha_Reversed;Beta_LineChain;Gamma_Disconnected,473.876,468.041,479.648,560.522,581.225,581.375,558.838,528.564,502.925,549.806,EVOLVING,2000.0,222,75,297,6416
23,Beta_AllEqual;Gamma_LoadFactor;Alpha_Reversed,473.876,468.041,560.366,560.522,581.225,581.375,558.838,528.564,502.925,549.806,EVOLVING,2000.0,211,76,287,6703
