Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_ModuloStep;Alpha_StarGraph;Alpha_HashCollision,32.418,38.818,8.633,34.829,17.901,9.677,19.161,20.417,10.799,17.4,EVOLVING,2000.0,214,81,295,295
2,Alpha_StarGraph;Gamma_LoadFactor;Gamma_Sawtooth,32.418,38.818,67.276,72.548,17.901,9.677,19.161,20.417,59.786,17.4,EVOLVING,2000.0,215,77,292,587
3,Gamma_Disconnected;Gamma_LoadFactor;Alpha_Reversed,32.418,38.818,93.764,72.548,17.901,96.544,95.052,20.417,59.786,17.4,EVOLVING,2000.0,211,74,285,872
4,Delta_Extremist;Gamma_LoadFactor;Alpha_HashCollision,122.881,38.818,119.347,72.548,17.901,96.544,95.052,20.417,59.786,119.069,EVOLVING,2000.0,207,80,287,1159
5,Beta_LineChain;Alpha_HashCollision;Gamma_Sawtooth,150.262,38.818,119.347,72.548,134.24,96.544,95.052,20.417,128.165,119.069,EVOLVING,2000.0,224,76,300,1459
6,Gamma_LoadFactor;Beta_ModuloStep;Beta_LineChain,150.262,149.473,180.588,72.548,186.269,96.544,95.052,20.417,128.165,119.069,EVOLVING,2000.0,217,69,286,1745
7,Alpha_Reversed;Gamma_Disconnected;Beta_LineChain,150.262,149.473,180.588,72.548,188.254,208.758,190.243,20.417,128.165,119.069,EVOLVING,2000.0,210,78,288,2033
8,Alpha_Reversed;Alpha_HashCollision;Beta_ModuloStep,228.757,220.529,180.588,72.548,188.254,208.758,190.243,20.417,128.165,119.069,EVOLVING,2000.0,223,68,291,2324
9,Gamma_Disconnected;Delta_Extremist;Beta_LineChain,228.757,220.529,180.588,72.548,222.371,238.999,190.243,20.417,128.165,239.237,EVOLVING,2000.0,211,78,289,2613
10,Delta_Extremist;Alpha_StarGraph;Gamma_LoadFactor,228.757,220.529,225.03,246.032,222.371,238.999,190.243,20.417,128.165,239.237,EVOLVING,2000.0,215,77,292,2905
11,Delta_Extremist;Alpha_Reversed;Beta_AllEqual,228.757,220.529,225.03,246.032,222.371,238.999,244.262,245.176,128.165,239.237,EVOLVING,2000.0,217,73,290,3195
12,Alpha_HashCollision;Beta_AllEqual;Beta_LineChain,283.041,220.529,225.03,246.032,247.371,238.999,244.262,279.822,128.165,239.237,EVOLVING,2000.0,213,79,292,3487
13,Beta_AllEqual;Alpha_HashCollision;Gamma_LoadFactor,283.041,220.529,263.651,246.032,247.371,238.999,244.262,279.822,128.165,239.237,EVOLVING,2000.0,215,77,292,3779
14,Gamma_Disconnected;Beta_ModuloStep;Gamma_Sawtooth,283.041,300.571,263.651,246.032,247.371,323.626,244.262,279.822,262.832,239.237,EVOLVING,2000.0,210,75,285,4064
15,Alpha_HashCollision;Gamma_Disconnected;Gamma_LoadFactor,292.875,300.571,266.701,246.032,247.371,323.626,244.262,279.822,262.832,239.237,EVOLVING,2000.0,212,79,291,4355
16,Alpha_Reversed;Gamma_LoadFactor;Beta_LineChain,292.875,300.571,317.74,246.032,349.048,323.626,318.996,279.822,262.832,239.237,EVOLVING,2000.0,211,76,287,4642
17,Delta_Extremist;Gamma_Disconnected;Alpha_Reversed,292.875,300.571,317.74,246.032,349.048,323.626,318.996,279.822,262.832,358.755,EVOLVING,2000.0,218,81,299,4941
18,Gamma_Disconnected;Alpha_StarGraph;Beta_AllEqual,292.875,300.571,317.74,315.945,349.048,343.592,318.996,324.434,262.832,358.755,EVOLVING,2000.0,223,70,293,5234
19,Gamma_LoadFactor;Beta_LineChain;Gamma_Sawtooth,292.875,300.571,317.74,315.945,366.968,343.592,318.996,324.434,309.477,358.755,EVOLVING,2000.0,217,73,290,5524
20,Gamma_Sawtooth;Alpha_HashCollision;Beta_ModuloStep,310.611,377.232,317.74,315.945,366.968,343.592,318.996,324.434,309.477,358.755,EVOLVING,2000.0,224,75,299,5823
21,Beta_ModuloStep;Alpha_Reversed;Alpha_HashCollision,350.277,377.232,317.74,315.945,366.968,343.592,318.996,324.434,309.477,358.755,EVOLVING,2000.0,215,76,291,6114
22,Gamma_Sawtooth;Beta_ModuloStep;Alpha_HashCollision,350.277,377.232,317.74,315.945,366.968,343.592,318.996,324.434,316.599,358.755,EVOLVING,2000.0,217,73,290,6404
23,Gamma_LoadFactor;Gamma_Disconnected;Alpha_Reversed,350.277,377.232,359.727,315.945,366.968,362.295,324.651,324.434,316.599,358.755,EVOLVING,2000.0,219,81,300,6704
24,Beta_LineChain;Gamma_Disconnected;Alpha_Reversed,350.277,377.232,359.727,315.945,366.968,379.289,384.597,324.434,316.599,358.755,EVOLVING,2000.0,223,72,295,6999
25,Beta_ModuloStep;Gamma_Sawtooth;Alpha_HashCollision,397.782,378.64,359.727,315.945,366.968,379.289,384.597,324.434,357.1,358.755,EVOLVING,2000.0,215,74,289,7288
26,Gamma_Sawtooth;Alpha_Reversed;Gamma_Disconnected,397.782,378.64,359.727,315.945,366.968,379.289,384.597,324.434,375.625,358.755,EVOLVING,2000.0,215,76,291,7579
27,Gamma_Sawtooth;Beta_LineChain;Gamma_LoadFactor,397.782,378.64,359.727,315.945,366.968,379.289,384.597,324.434,414.089,358.755,EVOLVING,2000.0,218,76,294,7873
28,Gamma_LoadFactor;Delta_Extremist;Beta_AllEqual,397.782,378.64,359.727,315.945,366.968,379.289,384.597,380.708,414.089,358.755,EVOLVING,2000.0,219,78,297,8170
29,Alpha_HashCollision;Gamma_Disconnected;Beta_ModuloStep,397.782,378.64,359.727,315.945,366.968,379.289,384.597,380.708,414.089,358.755,EVOLVING,2000.0,225,83,308,8478
30,Delta_Extremist;Alpha_StarGraph;Beta_LineChain,397.782,378.64,359.727,416.436,375.287,379.289,384.597,380.708,414.089,391.816,EVOLVING,2000.0,214,77,291,8769
31,Delta_Extremist;Alpha_Reversed;Beta_AllEqual,397.782,378.64,359.727,416.436,375.287,379.289,425.667,394.279,414.089,391.816,EVOLVING,2000.0,217,73,290,9059
32,Beta_ModuloStep;Gamma_Sawtooth;Beta_AllEqual,397.782,425.321,359.727,416.436,375.287,379.289,425.667,394.279,414.089,391.816,EVOLVING,2000.0,219,74,293,9352
33,Beta_AllEqual;Beta_ModuloStep;Gamma_Disconnected,397.782,435.755,359.727,416.436,375.287,384.243,425.667,394.279,414.089,391.816,EVOLVING,2000.0,215,79,294,9646
34,Beta_LineChain;Delta_Extremist;Gamma_Sawtooth,397.782,435.755,359.727,416.436,405.415,384.243,425.667,394.279,414.089,391.816,EVOLVING,2000.0,220,77,297,9943
35,Alpha_StarGraph;Beta_AllEqual;Alpha_Reversed,397.782,435.755,359.727,416.436,405.415,384.243,425.667,412.263,414.089,391.816,EVOLVING,2000.0,218,70,288,10231
36,Gamma_Sawtooth;Beta_ModuloStep;Gamma_Disconnected,397.782,435.755,359.727,416.436,405.415,392.0,425.667,412.263,414.089,391.816,EVOLVING,2000.0,218,73,291,10522
37,Alpha_Reversed;Beta_ModuloStep;Beta_LineChain,397.782,435.755,359.727,416.436,418.708,392.0,425.667,412.263,414.089,391.816,EVOLVING,2000.0,216,80,296,10818
38,Alpha_Reversed;Beta_LineChain;Beta_AllEqual,397.782,435.755,359.727,416.436,418.708,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,219,75,294,11112
39,Beta_LineChain;Beta_AllEqual;Alpha_Reversed,397.782,435.755,359.727,416.436,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,219,79,298,11410
40,Beta_ModuloStep;Alpha_StarGraph;Beta_LineChain,397.782,435.755,359.727,416.436,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,205,72,277,11687
41,Alpha_HashCollision;Gamma_LoadFactor;Alpha_Reversed,397.782,435.755,438.409,416.436,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,214,76,290,11977
42,Beta_AllEqual;Alpha_HashCollision;Alpha_StarGraph,449.433,435.755,438.409,453.758,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,212,78,290,12267
43,Gamma_LoadFactor;Alpha_Reversed;Beta_AllEqual,449.433,435.755,438.409,453.758,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,221,78,299,12566
44,Beta_LineChain;Beta_AllEqual;Alpha_StarGraph,449.433,435.755,438.409,453.758,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,210,71,281,12847
45,Beta_LineChain;Gamma_Sawtooth;Alpha_Reversed,449.433,435.755,438.409,453.758,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,221,77,298,13145
46,Alpha_StarGraph;Beta_LineChain;Gamma_Disconnected,449.433,435.755,438.409,453.758,440.701,392.0,425.667,449.375,414.089,391.816,EVOLVING,2000.0,213,76,289,13434
