Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_AllEqual;Alpha_Reversed;Beta_LineChain,11.936,14.952,22.054,17.281,57.455,12.151,52.462,45.88,12.862,12.338,EVOLVING,2000.0,216,76,292,292
2,Gamma_Sawtooth;Alpha_StarGraph;Gamma_LoadFactor,11.936,14.952,88.597,85.979,57.455,12.151,52.462,45.88,89.131,12.338,EVOLVING,2000.0,217,72,289,581
3,Alpha_StarGraph;Beta_LineChain;Gamma_Disconnected,11.936,14.952,88.597,130.538,155.591,154.973,52.462,45.88,89.131,12.338,EVOLVING,2000.0,222,77,299,880
4,Beta_LineChain;Alpha_HashCollision;Delta_Extremist,175.011,14.952,88.597,130.538,176.351,154.973,52.462,45.88,89.131,195.704,EVOLVING,2000.0,218,74,292,1172
5,Beta_ModuloStep;Alpha_StarGraph;Gamma_Disconnected,175.011,215.762,88.597,237.893,176.351,206.478,52.462,45.88,89.131,195.704,EVOLVING,2000.0,213,74,287,1459
6,Gamma_Sawtooth;Gamma_Disconnected;Delta_Extremist,175.011,215.762,88.597,237.893,176.351,251.234,52.462,45.88,259.966,246.239,EVOLVING,2000.0,212,74,286,1745
7,Beta_AllEqual;Gamma_Disconnected;Alpha_Reversed,175.011,215.762,88.597,237.893,176.351,279.197,276.011,288.319,259.966,246.239,EVOLVING,2000.0,220,70,290,2035
8,Gamma_LoadFactor;Gamma_Disconnected;Alpha_HashCollision,328.196,215.762,283.316,237.893,176.351,306.768,276.011,288.319,259.966,246.239,EVOLVING,2000.0,220,72,292,2327
9,Gamma_Sawtooth;Beta_AllEqual;Delta_Extremist,328.196,215.762,283.316,237.893,176.351,306.768,276.011,364.307,345.792,323.595,EVOLVING,2000.0,218,73,291,2618
10,Beta_LineChain;Gamma_Disconnected;Gamma_LoadFactor,328.196,215.762,381.892,237.893,336.554,390.051,276.011,364.307,345.792,323.595,EVOLVING,2000.0,219,69,288,2906
11,Alpha_HashCollision;Gamma_LoadFactor;Delta_Extremist,420.639,215.762,381.892,237.893,336.554,390.051,276.011,364.307,345.792,407.643,EVOLVING,2000.0,215,82,297,3203
12,Gamma_Disconnected;Gamma_Sawtooth;Beta_AllEqual,420.639,215.762,381.892,237.893,336.554,390.051,276.011,374.66,372.229,407.643,EVOLVING,2000.0,212,77,289,3492
13,Alpha_HashCollision;Gamma_Sawtooth;Beta_AllEqual,420.639,215.762,381.892,237.893,336.554,390.051,276.011,381.169,411.327,407.643,EVOLVING,2000.0,216,74,290,3782
14,Alpha_StarGraph;Delta_Extremist;Gamma_LoadFactor,420.639,215.762,444.571,424.263,336.554,390.051,276.011,381.169,411.327,407.643,EVOLVING,2000.0,217,75,292,4074
15,Alpha_HashCollision;Alpha_Reversed;Gamma_LoadFactor,420.639,215.762,444.571,424.263,336.554,390.051,475.818,381.169,411.327,407.643,EVOLVING,2000.0,213,73,286,4360
16,Beta_ModuloStep;Beta_LineChain;Alpha_StarGraph,420.639,490.968,444.571,424.263,479.568,390.051,475.818,381.169,411.327,407.643,EVOLVING,2000.0,220,68,288,4648
