Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_HashCollision;Beta_AllEqual;Delta_Extremist,48.558,16.802,16.693,23.887,10.0,19.575,12.207,51.772,15.305,43.844,EVOLVING,2000.0,67,35,35,35
2,Alpha_StarGraph;Delta_Extremist;Beta_ModuloStep,48.558,101.085,16.693,99.964,10.0,19.575,12.207,51.772,15.305,99.561,EVOLVING,2000.0,69,37,37,72
3,Alpha_Reversed;Beta_AllEqual;Delta_Extremist,48.558,101.085,16.693,99.964,10.0,19.575,128.222,145.937,15.305,127.93,EVOLVING,2000.0,73,35,35,107
4,Delta_Extremist;Gamma_Disconnected;Alpha_Reversed,48.558,101.085,16.693,99.964,10.0,154.69,174.277,145.937,15.305,148.494,EVOLVING,2000.0,80,39,39,146
5,Alpha_StarGraph;Beta_ModuloStep;Gamma_Disconnected,48.558,185.663,16.693,226.842,10.0,182.792,174.277,145.937,15.305,148.494,EVOLVING,2000.0,75,35,35,181
6,Delta_Extremist;Alpha_Reversed;Gamma_Sawtooth,48.558,185.663,16.693,226.842,10.0,182.792,235.193,145.937,209.598,231.03,EVOLVING,2000.0,74,36,36,217
7,Delta_Extremist;Beta_AllEqual;Gamma_LoadFactor,48.558,185.663,241.657,226.842,10.0,182.792,235.193,257.601,209.598,249.05,EVOLVING,2000.0,68,33,33,250
8,Gamma_Sawtooth;Gamma_Disconnected;Alpha_StarGraph,48.558,185.663,241.657,272.629,10.0,272.247,235.193,257.601,253.5,249.05,EVOLVING,2000.0,79,37,37,287
9,Beta_ModuloStep;Alpha_StarGraph;Beta_LineChain,48.558,290.017,241.657,304.183,309.28,272.247,235.193,257.601,253.5,249.05,EVOLVING,2000.0,74,37,37,324
10,Alpha_HashCollision;Gamma_LoadFactor;Beta_AllEqual,295.957,290.017,357.676,304.183,309.28,272.247,235.193,359.769,253.5,249.05,EVOLVING,2000.0,76,34,34,358
