Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_ModuloStep;Gamma_Sawtooth;Delta_Extremist,8.871,36.656,17.702,25.521,18.009,14.584,15.663,12.424,29.987,30.875,EVOLVING,2000.0,220,81,301,301
2,Alpha_Reversed;Beta_ModuloStep;Gamma_LoadFactor,8.871,63.475,57.499,25.521,18.009,14.584,56.848,12.424,29.987,30.875,EVOLVING,2000.0,222,81,303,604
3,Alpha_StarGraph;Alpha_Reversed;Gamma_Sawtooth,8.871,63.475,57.499,79.502,18.009,14.584,84.4,12.424,85.372,30.875,EVOLVING,2000.0,206,77,283,887
4,Beta_ModuloStep;Alpha_StarGraph;Beta_AllEqual,8.871,115.442,57.499,114.813,18.009,14.584,84.4,121.476,85.372,30.875,EVOLVING,2000.0,217,77,294,1181
5,Alpha_Reversed;Alpha_HashCollision;Beta_ModuloStep,129.561,146.463,57.499,114.813,18.009,14.584,120.151,121.476,85.372,30.875,EVOLVING,2000.0,223,81,304,1485
6,Beta_ModuloStep;Beta_LineChain;Alpha_StarGraph,129.561,165.351,57.499,170.529,173.424,14.584,120.151,121.476,85.372,30.875,EVOLVING,2000.0,213,73,286,1771
7,Gamma_Disconnected;Beta_LineChain;Delta_Extremist,129.561,165.351,57.499,170.529,187.624,160.731,120.151,121.476,85.372,195.725,EVOLVING,2000.0,210,69,279,2050
8,Beta_LineChain;Beta_ModuloStep;Alpha_Reversed,129.561,191.84,57.499,170.529,213.678,160.731,204.969,121.476,85.372,195.725,EVOLVING,2000.0,214,77,291,2341
9,Alpha_HashCollision;Beta_LineChain;Beta_ModuloStep,220.017,205.604,57.499,170.529,213.678,160.731,204.969,121.476,85.372,195.725,EVOLVING,2000.0,219,75,294,2635
10,Alpha_Reversed;Delta_Extremist;Alpha_HashCollision,243.206,205.604,57.499,170.529,213.678,160.731,232.084,121.476,85.372,200.886,EVOLVING,2000.0,221,78,299,2934
11,Gamma_Sawtooth;Beta_ModuloStep;Beta_LineChain,243.206,265.914,57.499,170.529,214.164,160.731,232.084,121.476,245.12,200.886,EVOLVING,2000.0,218,81,299,3233
12,Alpha_StarGraph;Alpha_HashCollision;Gamma_Sawtooth,243.206,265.914,57.499,276.804,214.164,160.731,232.084,121.476,275.384,200.886,EVOLVING,2000.0,219,69,288,3521
13,Delta_Extremist;Gamma_LoadFactor;Beta_AllEqual,243.206,265.914,281.082,276.804,214.164,160.731,232.084,243.026,275.384,272.958,EVOLVING,2000.0,213,69,282,3803
14,Beta_ModuloStep;Gamma_LoadFactor;Gamma_Disconnected,243.206,302.512,281.082,276.804,214.164,276.71,232.084,243.026,275.384,272.958,EVOLVING,2000.0,214,76,290,4093
15,Alpha_HashCollision;Beta_AllEqual;Gamma_Sawtooth,296.877,302.512,281.082,276.804,214.164,276.71,232.084,317.97,299.748,272.958,EVOLVING,2000.0,218,71,289,4382
16,Alpha_HashCollision;Beta_AllEqual;Gamma_Disconnected,296.877,302.512,281.082,276.804,214.164,330.452,232.084,317.97,299.748,272.958,EVOLVING,2000.0,211,73,284,4666
17,Beta_AllEqual;Alpha_HashCollision;Beta_ModuloStep,299.89,328.271,281.082,276.804,214.164,330.452,232.084,331.347,299.748,272.958,EVOLVING,2000.0,219,73,292,4958
18,Gamma_LoadFactor;Alpha_Reversed;Beta_AllEqual,299.89,328.271,286.75,276.804,214.164,330.452,281.495,335.351,299.748,272.958,EVOLVING,2000.0,221,79,300,5258
19,Alpha_Reversed;Alpha_StarGraph;Alpha_HashCollision,299.89,328.271,286.75,326.815,214.164,330.452,317.692,335.351,299.748,272.958,EVOLVING,2000.0,212,74,286,5544
20,Gamma_LoadFactor;Gamma_Disconnected;Beta_ModuloStep,299.89,339.095,293.133,326.815,214.164,330.452,317.692,335.351,299.748,272.958,EVOLVING,2000.0,209,78,287,5831
21,Gamma_Sawtooth;Beta_AllEqual;Gamma_LoadFactor,299.89,339.095,342.705,326.815,214.164,330.452,317.692,335.351,339.67,272.958,EVOLVING,2000.0,217,71,288,6119
22,Beta_AllEqual;Alpha_StarGraph;Gamma_Sawtooth,299.89,339.095,342.705,366.641,214.164,330.452,317.692,341.35,362.396,272.958,EVOLVING,2000.0,223,70,293,6412
23,Beta_AllEqual;Gamma_Sawtooth;Gamma_Disconnected,299.89,339.095,342.705,366.641,214.164,360.757,317.692,341.35,362.396,272.958,EVOLVING,2000.0,217,73,290,6702
