Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_AllEqual;Beta_LineChain;Gamma_LoadFactor,15.464,24.842,47.7,8.344,47.948,18.661,8.643,51.454,10.698,12.723,EVOLVING,2000.0,77,35,35,35
2,Delta_Extremist;Alpha_Reversed;Alpha_HashCollision,87.504,24.842,47.7,8.344,47.948,18.661,95.787,51.454,10.698,98.541,EVOLVING,2000.0,71,34,34,69
3,Delta_Extremist;Gamma_Disconnected;Alpha_HashCollision,132.799,24.842,47.7,8.344,47.948,134.691,95.787,51.454,10.698,145.183,EVOLVING,2000.0,77,40,40,109
4,Delta_Extremist;Alpha_StarGraph;Gamma_Sawtooth,132.799,24.842,47.7,162.469,47.948,134.691,95.787,51.454,183.362,179.317,EVOLVING,2000.0,68,36,36,145
5,Alpha_StarGraph;Gamma_LoadFactor;Beta_LineChain,132.799,24.842,218.796,211.464,198.494,134.691,95.787,51.454,183.362,179.317,EVOLVING,2000.0,77,32,32,177
6,Alpha_StarGraph;Gamma_Disconnected;Beta_LineChain,132.799,24.842,218.796,263.085,237.97,225.362,95.787,51.454,183.362,179.317,EVOLVING,2000.0,66,37,37,214
7,Gamma_Sawtooth;Beta_ModuloStep;Alpha_Reversed,132.799,292.293,218.796,263.085,237.97,225.362,244.003,51.454,281.314,179.317,EVOLVING,2000.0,69,37,37,251
8,Beta_LineChain;Alpha_StarGraph;Alpha_HashCollision,255.532,292.293,218.796,309.712,307.346,225.362,244.003,51.454,281.314,179.317,EVOLVING,2000.0,73,37,37,288
9,Alpha_HashCollision;Delta_Extremist;Gamma_Sawtooth,308.261,292.293,218.796,309.712,307.346,225.362,244.003,51.454,296.675,309.484,EVOLVING,2000.0,67,35,35,323
10,Beta_AllEqual;Gamma_Sawtooth;Beta_ModuloStep,308.261,374.667,218.796,309.712,307.346,225.362,244.003,320.359,340.014,309.484,EVOLVING,2000.0,65,35,35,358
11,Gamma_Sawtooth;Alpha_Reversed;Gamma_Disconnected,308.261,374.667,218.796,309.712,307.346,343.467,366.823,320.359,354.625,309.484,EVOLVING,2000.0,80,35,35,393
12,Gamma_LoadFactor;Gamma_Sawtooth;Beta_LineChain,308.261,374.667,417.724,309.712,378.753,343.467,366.823,320.359,417.454,309.484,EVOLVING,2000.0,74,37,37,430
13,Delta_Extremist;Alpha_StarGraph;Alpha_HashCollision,431.569,374.667,417.724,418.831,378.753,343.467,366.823,320.359,417.454,438.731,EVOLVING,2000.0,70,34,34,464
14,Alpha_HashCollision;Alpha_Reversed;Beta_ModuloStep,431.569,405.36,417.724,418.831,378.753,343.467,432.914,320.359,417.454,438.731,EVOLVING,2000.0,80,36,36,500
15,Alpha_Reversed;Gamma_Disconnected;Beta_ModuloStep,431.569,405.36,417.724,418.831,378.753,415.878,432.914,320.359,417.454,438.731,EVOLVING,2000.0,72,32,32,532
16,Beta_AllEqual;Alpha_Reversed;Alpha_HashCollision,478.418,405.36,417.724,418.831,378.753,415.878,472.833,423.699,417.454,438.731,EVOLVING,2000.0,65,37,37,569
17,Beta_ModuloStep;Gamma_LoadFactor;Beta_LineChain,478.418,468.947,417.724,418.831,415.553,415.878,472.833,423.699,417.454,438.731,EVOLVING,2000.0,67,36,36,605
18,Alpha_Reversed;Gamma_LoadFactor;Gamma_Disconnected,478.418,468.947,483.703,418.831,415.553,415.878,472.833,423.699,417.454,438.731,EVOLVING,2000.0,73,40,40,645
19,Beta_ModuloStep;Alpha_HashCollision;Gamma_Disconnected,478.418,509.254,483.703,418.831,415.553,417.732,472.833,423.699,417.454,438.731,EVOLVING,2000.0,80,36,36,681
20,Gamma_Disconnected;Beta_LineChain;Gamma_Sawtooth,478.418,509.254,483.703,418.831,527.169,470.52,472.833,423.699,529.006,438.731,EVOLVING,2000.0,75,38,38,719
21,Alpha_HashCollision;Gamma_LoadFactor;Gamma_Sawtooth,478.418,509.254,483.703,418.831,527.169,470.52,472.833,423.699,529.006,438.731,EVOLVING,2000.0,70,37,37,756
22,Beta_AllEqual;Alpha_Reversed;Delta_Extremist,478.418,509.254,483.703,418.831,527.169,470.52,484.196,471.192,529.006,442.662,EVOLVING,2000.0,72,40,40,796
23,Gamma_Sawtooth;Alpha_HashCollision;Delta_Extremist,478.418,509.254,483.703,418.831,527.169,470.52,484.196,471.192,529.006,465.482,EVOLVING,2000.0,68,37,37,833
24,Beta_LineChain;Gamma_Disconnected;Beta_ModuloStep,478.418,509.254,483.703,418.831,531.497,546.878,484.196,471.192,529.006,465.482,EVOLVING,2000.0,69,37,37,870
25,Alpha_HashCollision;Alpha_Reversed;Alpha_StarGraph,569.089,509.254,483.703,516.52,531.497,546.878,496.104,471.192,529.006,465.482,EVOLVING,2000.0,77,39,39,909
26,Beta_ModuloStep;Gamma_Disconnected;Alpha_StarGraph,569.089,517.509,483.703,516.52,531.497,546.878,496.104,471.192,529.006,465.482,EVOLVING,2000.0,79,34,34,943
27,Beta_ModuloStep;Gamma_LoadFactor;Gamma_Sawtooth,569.089,517.509,583.398,516.52,531.497,546.878,496.104,471.192,545.459,465.482,EVOLVING,2000.0,67,39,39,982
