Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_HashCollision;Beta_AllEqual;Alpha_StarGraph,53.605,19.863,9.61,50.871,25.078,23.719,15.078,51.141,22.332,12.948,EVOLVING,2000.0,211,78,289,289
2,Gamma_Disconnected;Alpha_StarGraph;Alpha_HashCollision,96.869,19.863,9.61,92.815,25.078,101.857,15.078,51.141,22.332,12.948,EVOLVING,2000.0,213,78,291,580
3,Gamma_LoadFactor;Alpha_HashCollision;Alpha_Reversed,117.11,19.863,131.065,92.815,25.078,101.857,142.353,51.141,22.332,12.948,EVOLVING,2000.0,212,68,280,860
4,Beta_AllEqual;Beta_LineChain;Delta_Extremist,117.11,19.863,131.065,92.815,151.613,101.857,142.353,182.98,22.332,154.183,EVOLVING,2000.0,217,72,289,1149
5,Gamma_Sawtooth;Beta_AllEqual;Beta_ModuloStep,117.11,212.212,131.065,92.815,151.613,101.857,142.353,202.998,180.195,154.183,EVOLVING,2000.0,209,75,284,1433
6,Gamma_Disconnected;Alpha_HashCollision;Alpha_Reversed,231.661,212.212,131.065,92.815,151.613,231.68,261.912,202.998,180.195,154.183,EVOLVING,2000.0,215,83,298,1731
7,Alpha_StarGraph;Beta_ModuloStep;Gamma_Sawtooth,231.661,275.507,131.065,276.725,151.613,231.68,261.912,202.998,265.278,154.183,EVOLVING,2000.0,219,82,301,2032
8,Gamma_LoadFactor;Beta_LineChain;Gamma_Sawtooth,231.661,275.507,278.392,276.725,260.033,231.68,261.912,202.998,299.865,154.183,EVOLVING,2000.0,214,75,289,2321
9,Beta_LineChain;Alpha_StarGraph;Beta_ModuloStep,231.661,290.315,278.392,277.504,346.428,231.68,261.912,202.998,299.865,154.183,EVOLVING,2000.0,224,76,300,2621
10,Delta_Extremist;Beta_LineChain;Alpha_StarGraph,231.661,290.315,278.392,363.006,367.767,231.68,261.912,202.998,299.865,362.666,EVOLVING,2000.0,216,75,291,2912
11,Gamma_Disconnected;Beta_AllEqual;Beta_LineChain,231.661,290.315,278.392,363.006,399.18,347.677,261.912,325.552,299.865,362.666,EVOLVING,2000.0,218,78,296,3208
