Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Gamma_Sawtooth;Alpha_StarGraph;Alpha_HashCollision,31.891,18.402,18.692,32.236,11.755,18.243,18.539,18.568,36.98,12.491,EVOLVING,2000.0,75,34,34,34
2,Alpha_Reversed;Delta_Extremist;Beta_AllEqual,31.891,18.402,18.692,32.236,11.755,18.243,64.052,75.434,36.98,73.013,EVOLVING,2000.0,65,32,32,66
3,Beta_AllEqual;Gamma_LoadFactor;Alpha_HashCollision,90.457,18.402,94.127,32.236,11.755,18.243,64.052,85.86,36.98,73.013,EVOLVING,2000.0,74,39,39,105
4,Delta_Extremist;Beta_ModuloStep;Beta_LineChain,90.457,111.506,94.127,32.236,123.945,18.243,64.052,85.86,36.98,107.596,EVOLVING,2000.0,70,33,33,138
5,Delta_Extremist;Gamma_Sawtooth;Gamma_Disconnected,90.457,111.506,94.127,32.236,123.945,143.181,64.052,85.86,145.061,158.511,EVOLVING,2000.0,80,36,36,174
6,Alpha_HashCollision;Gamma_LoadFactor;Delta_Extremist,156.435,111.506,170.677,32.236,123.945,143.181,64.052,85.86,145.061,163.346,EVOLVING,2000.0,75,36,36,210
7,Beta_LineChain;Gamma_Sawtooth;Gamma_Disconnected,156.435,111.506,170.677,32.236,205.719,183.538,64.052,85.86,203.989,163.346,EVOLVING,2000.0,68,39,39,249
8,Delta_Extremist;Alpha_HashCollision;Gamma_LoadFactor,196.0,111.506,199.14,32.236,205.719,183.538,64.052,85.86,203.989,187.19,EVOLVING,2000.0,69,34,34,283
9,Delta_Extremist;Beta_LineChain;Alpha_Reversed,196.0,111.506,199.14,32.236,213.118,183.538,253.335,85.86,203.989,219.595,EVOLVING,2000.0,67,35,35,318
10,Alpha_HashCollision;Gamma_Sawtooth;Gamma_LoadFactor,247.476,111.506,252.149,32.236,213.118,183.538,253.335,85.86,245.903,219.595,EVOLVING,2000.0,70,34,34,352
11,Beta_ModuloStep;Gamma_Disconnected;Beta_LineChain,247.476,235.162,252.149,32.236,270.762,233.007,253.335,85.86,245.903,219.595,EVOLVING,2000.0,69,32,32,384
12,Gamma_LoadFactor;Beta_AllEqual;Alpha_Reversed,247.476,235.162,252.149,32.236,270.762,233.007,295.8,293.658,245.903,219.595,EVOLVING,2000.0,78,32,32,416
13,Gamma_LoadFactor;Beta_LineChain;Gamma_Disconnected,247.476,235.162,263.694,32.236,278.966,262.493,295.8,293.658,245.903,219.595,EVOLVING,2000.0,75,39,39,455
