Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_HashCollision;Beta_ModuloStep;Alpha_Reversed,54.224,56.621,17.482,8.886,25.106,18.821,54.342,15.362,17.217,23.724,EVOLVING,2000.0,214,73,287,287
2,Gamma_Sawtooth;Beta_LineChain;Beta_ModuloStep,54.224,93.267,17.482,8.886,111.546,18.821,54.342,15.362,92.833,23.724,EVOLVING,2000.0,215,74,289,576
3,Gamma_LoadFactor;Gamma_Sawtooth;Alpha_StarGraph,54.224,93.267,166.738,157.449,111.546,18.821,54.342,15.362,153.87,23.724,EVOLVING,2000.0,220,75,295,871
4,Delta_Extremist;Alpha_Reversed;Gamma_Sawtooth,54.224,93.267,166.738,157.449,111.546,18.821,194.53,15.362,203.555,181.788,EVOLVING,2000.0,218,78,296,1167
5,Alpha_Reversed;Alpha_StarGraph;Beta_ModuloStep,54.224,253.513,166.738,238.954,111.546,18.821,234.535,15.362,203.555,181.788,EVOLVING,2000.0,219,78,297,1464
6,Beta_LineChain;Beta_AllEqual;Alpha_Reversed,54.224,253.513,166.738,238.954,259.934,18.821,248.84,291.228,203.555,181.788,EVOLVING,2000.0,211,71,282,1746
7,Gamma_LoadFactor;Delta_Extremist;Beta_AllEqual,54.224,253.513,292.295,238.954,259.934,18.821,248.84,291.228,203.555,271.88,EVOLVING,2000.0,213,76,289,2035
8,Alpha_HashCollision;Gamma_Disconnected;Beta_AllEqual,301.269,253.513,292.295,238.954,259.934,353.379,248.84,309.007,203.555,271.88,EVOLVING,2000.0,213,79,292,2327
9,Gamma_Sawtooth;Delta_Extremist;Gamma_LoadFactor,301.269,253.513,351.23,238.954,259.934,353.379,248.84,309.007,345.756,336.47,EVOLVING,2000.0,211,70,281,2608
10,Beta_AllEqual;Beta_ModuloStep;Gamma_Sawtooth,301.269,407.629,351.23,238.954,259.934,353.379,248.84,339.664,366.972,336.47,EVOLVING,2000.0,216,79,295,2903
11,Delta_Extremist;Alpha_HashCollision;Gamma_Disconnected,409.048,407.629,351.23,238.954,259.934,418.254,248.84,339.664,366.972,400.73,EVOLVING,2000.0,215,77,292,3195
12,Beta_ModuloStep;Alpha_StarGraph;Gamma_Disconnected,409.048,454.783,351.23,389.565,259.934,418.254,248.84,339.664,366.972,400.73,EVOLVING,2000.0,215,79,294,3489
