Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Beta_AllEqual;Gamma_Sawtooth;Alpha_Reversed,8.614,21.199,19.142,21.676,22.976,23.757,54.431,54.243,60.828,18.78,EVOLVING,2000.0,219,74,293,293
2,Gamma_Sawtooth;Alpha_HashCollision;Beta_LineChain,111.882,21.199,19.142,21.676,109.145,23.757,54.431,54.243,121.824,18.78,EVOLVING,2000.0,219,82,301,594
3,Gamma_Sawtooth;Gamma_Disconnected;Delta_Extremist,111.882,21.199,19.142,21.676,109.145,144.914,54.431,54.243,155.483,147.046,EVOLVING,2000.0,213,74,287,881
4,Alpha_StarGraph;Beta_AllEqual;Gamma_LoadFactor,111.882,21.199,191.307,209.113,109.145,144.914,54.431,221.895,155.483,147.046,EVOLVING,2000.0,221,70,291,1172
5,Alpha_StarGraph;Alpha_HashCollision;Alpha_Reversed,222.254,21.199,191.307,250.996,109.145,144.914,234.613,221.895,155.483,147.046,EVOLVING,2000.0,213,68,281,1453
6,Beta_LineChain;Alpha_HashCollision;Gamma_LoadFactor,264.064,21.199,266.291,250.996,316.355,144.914,234.613,221.895,155.483,147.046,EVOLVING,2000.0,207,79,286,1739
7,Alpha_StarGraph;Alpha_HashCollision;Gamma_LoadFactor,358.693,21.199,295.049,309.791,316.355,144.914,234.613,221.895,155.483,147.046,EVOLVING,2000.0,223,72,295,2034
8,Alpha_StarGraph;Alpha_Reversed;Beta_AllEqual,358.693,21.199,295.049,368.996,316.355,144.914,356.962,342.586,155.483,147.046,EVOLVING,2000.0,218,72,290,2324
9,Delta_Extremist;Alpha_HashCollision;Alpha_Reversed,420.153,21.199,295.049,368.996,316.355,144.914,409.863,342.586,155.483,376.039,EVOLVING,2000.0,214,76,290,2614
10,Gamma_LoadFactor;Alpha_HashCollision;Beta_LineChain,423.208,21.199,442.812,368.996,436.31,144.914,409.863,342.586,155.483,376.039,EVOLVING,2000.0,216,77,293,2907
11,Gamma_LoadFactor;Beta_AllEqual;Beta_ModuloStep,423.208,455.683,442.812,368.996,436.31,144.914,409.863,478.514,155.483,376.039,EVOLVING,2000.0,213,77,290,3197
12,Gamma_Disconnected;Alpha_HashCollision;Beta_ModuloStep,492.863,455.683,442.812,368.996,436.31,474.09,409.863,478.514,155.483,376.039,EVOLVING,2000.0,213,72,285,3482
13,Gamma_Sawtooth;Beta_AllEqual;Beta_ModuloStep,492.863,511.42,442.812,368.996,436.31,474.09,409.863,486.061,495.662,376.039,EVOLVING,2000.0,216,70,286,3768
14,Gamma_Disconnected;Alpha_Reversed;Beta_AllEqual,492.863,511.42,442.812,368.996,436.31,551.884,523.242,493.408,495.662,376.039,EVOLVING,2000.0,208,76,284,4052
15,Delta_Extremist;Alpha_StarGraph;Alpha_HashCollision,521.474,511.42,442.812,492.197,436.31,551.884,523.242,493.408,495.662,531.665,EVOLVING,2000.0,218,79,297,4349
16,Gamma_Sawtooth;Alpha_StarGraph;Delta_Extremist,521.474,511.42,442.812,583.438,436.31,551.884,523.242,493.408,511.458,531.665,EVOLVING,2000.0,214,79,293,4642
17,Beta_AllEqual;Alpha_HashCollision;Alpha_Reversed,583.988,511.42,442.812,583.438,436.31,551.884,619.181,595.089,511.458,531.665,EVOLVING,2000.0,221,67,288,4930
18,Beta_LineChain;Gamma_LoadFactor;Alpha_Reversed,583.988,511.42,635.909,583.438,515.389,551.884,619.181,595.089,511.458,531.665,EVOLVING,2000.0,220,79,299,5229
19,Beta_ModuloStep;Gamma_Disconnected;Alpha_StarGraph,583.988,599.074,635.909,611.197,515.389,647.843,619.181,595.089,511.458,531.665,EVOLVING,2000.0,223,73,296,5525
