Generation,Active_Islands,Alpha_HashCollision,Beta_ModuloStep,Gamma_LoadFactor,Alpha_StarGraph,Beta_LineChain,Gamma_Disconnected,Alpha_Reversed,Beta_AllEqual,Gamma_Sawtooth,Delta_Extremist,Status,Target_Time_Limit_MS,Input_Tokens_Gen,Output_Tokens_Gen,Tokens_Used_This_Gen,Cumulative_Tokens
1,Alpha_StarGraph;Beta_LineChain;Alpha_HashCollision,53.523,12.075,14.521,49.485,48.741,22.681,24.016,10.835,8.992,10.786,EVOLVING,2000.0,213,76,289,289
2,Gamma_LoadFactor;Gamma_Disconnected;Beta_AllEqual,53.523,12.075,102.77,49.485,48.741,88.192,24.016,98.697,8.992,10.786,EVOLVING,2000.0,221,70,291,580
3,Delta_Extremist;Beta_LineChain;Gamma_LoadFactor,53.523,12.075,117.055,49.485,124.997,88.192,24.016,98.697,8.992,123.967,EVOLVING,2000.0,223,74,297,877
4,Gamma_Disconnected;Gamma_Sawtooth;Beta_ModuloStep,53.523,189.824,117.055,49.485,124.997,158.206,24.016,98.697,173.343,123.967,EVOLVING,2000.0,219,75,294,1171
5,Alpha_HashCollision;Gamma_Disconnected;Gamma_Sawtooth,198.916,189.824,117.055,49.485,124.997,196.053,24.016,98.697,215.273,123.967,EVOLVING,2000.0,212,68,280,1451
6,Alpha_HashCollision;Gamma_Sawtooth;Beta_AllEqual,257.305,189.824,117.055,49.485,124.997,196.053,24.016,235.414,243.779,123.967,EVOLVING,2000.0,215,70,285,1736
7,Alpha_Reversed;Gamma_Disconnected;Gamma_Sawtooth,257.305,189.824,117.055,49.485,124.997,248.17,251.784,235.414,258.562,123.967,EVOLVING,2000.0,221,70,291,2027
8,Delta_Extremist;Alpha_Reversed;Gamma_Disconnected,257.305,189.824,117.055,49.485,124.997,309.242,283.482,235.414,258.562,318.655,EVOLVING,2000.0,210,71,281,2308
9,Gamma_Sawtooth;Delta_Extremist;Beta_LineChain,257.305,189.824,117.055,49.485,304.883,309.242,283.482,235.414,278.106,346.235,EVOLVING,2000.0,220,68,288,2596
10,Alpha_StarGraph;Delta_Extremist;Gamma_Sawtooth,257.305,189.824,117.055,361.596,304.883,309.242,283.482,235.414,338.78,369.152,EVOLVING,2000.0,214,79,293,2889
11,Delta_Extremist;Alpha_HashCollision;Gamma_LoadFactor,371.871,189.824,364.222,361.596,304.883,309.242,283.482,235.414,338.78,388.909,EVOLVING,2000.0,210,73,283,3172
