Generation,Island_Alpha_Peak_MS,Island_Beta_Peak_MS,Island_Gamma_Peak_MS,Status
1,585.967,504.157,853.949,EVOLVING
2,1137.815,504.157,853.949,EVOLVING
3,1137.815,504.157,853.949,EVOLVING
4,1137.815,1137.815,1137.815,EVOLVING
5,1137.815,1137.815,1137.815,EVOLVING
6,1137.815,1137.815,1137.815,EVOLVING
7,1137.815,1137.815,1137.815,EVOLVING
8,1137.815,1137.815,1137.815,EVOLVING
9,1137.815,1137.815,1137.815,EVOLVING
10,1137.815,1137.815,1137.815,EVOLVING
11,1137.815,1137.815,1137.815,EVOLVING
12,1137.815,1137.815,1137.815,EVOLVING
13,1137.815,1137.815,1137.815,EVOLVING
14,1137.815,1137.815,1137.815,EVOLVING
15,1137.815,1137.815,1137.815,EVOLVING
16,1137.815,1137.815,1137.815,EVOLVING
17,1137.815,1137.815,1137.815,EVOLVING
18,1137.815,1137.815,1137.815,EVOLVING
19,1137.815,1137.815,1137.815,EVOLVING
20,1137.815,1137.815,1137.815,EVOLVING
21,1137.815,1137.815,1137.815,EVOLVING
22,1137.815,1137.815,1137.815,EVOLVING
23,1137.815,1137.815,1137.815,EVOLVING
24,1137.815,1137.815,1137.815,EVOLVING
25,1137.815,1137.815,1137.815,EVOLVING
26,1137.815,1137.815,1137.815,EVOLVING
27,1137.815,1137.815,1137.815,EVOLVING
28,1137.815,1137.815,1137.815,EVOLVING
29,1137.815,1137.815,1137.815,EVOLVING
30,1137.815,1137.815,1137.815,EVOLVING
